,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,25.04,2010-12-03T00:00:00,12/3/2010,2010-12-03,5.08,23.83,PSF,XPSFX
1,25.05,2010-12-10T00:00:00,12/10/2010,2010-12-10,5.16,23.82,PSF,XPSFX
2,25.0,2010-12-17T00:00:00,12/17/2010,2010-12-17,5.13,23.78,PSF,XPSFX
3,24.83,2010-12-31T00:00:00,12/31/2010,2010-12-31,4.59,23.74,PSF,XPSFX
4,24.99,2011-01-07T00:00:00,1/7/2011,2011-01-07,5.13,23.77,PSF,XPSFX
5,25.05,2011-01-14T00:00:00,1/14/2011,2011-01-14,5.25,23.8,PSF,XPSFX
6,24.95,2011-01-21T00:00:00,1/21/2011,2011-01-21,4.26,23.93,PSF,XPSFX
7,24.52,2011-01-28T00:00:00,1/28/2011,2011-01-28,1.95,24.05,PSF,XPSFX
8,25.1,2011-02-04T00:00:00,2/4/2011,2011-02-04,3.8,24.18,PSF,XPSFX
9,25.1,2011-02-11T00:00:00,2/11/2011,2011-02-11,3.0,24.37,PSF,XPSFX
10,25.0,2011-02-18T00:00:00,2/18/2011,2011-02-18,2.71,24.34,PSF,XPSFX
11,25.06,2011-02-25T00:00:00,2/25/2011,2011-02-25,3.17,24.29,PSF,XPSFX
12,25.1,2011-03-04T00:00:00,3/4/2011,2011-03-04,2.66,24.45,PSF,XPSFX
13,25.04,2011-03-11T00:00:00,3/11/2011,2011-03-11,2.41,24.45,PSF,XPSFX
14,25.0,2011-03-18T00:00:00,3/18/2011,2011-03-18,2.88,24.3,PSF,XPSFX
15,24.6,2011-03-25T00:00:00,3/25/2011,2011-03-25,0.7,24.43,PSF,XPSFX
16,24.79,2011-04-01T00:00:00,4/1/2011,2011-04-01,0.45,24.68,PSF,XPSFX
17,24.8,2011-04-08T00:00:00,4/8/2011,2011-04-08,0.2,24.75,PSF,XPSFX
18,24.74,2011-04-15T00:00:00,4/15/2011,2011-04-15,-0.32,24.82,PSF,XPSFX
19,24.18,2011-04-29T00:00:00,4/29/2011,2011-04-29,-2.97,24.92,PSF,XPSFX
20,24.3,2011-05-06T00:00:00,5/6/2011,2011-05-06,-2.99,25.05,PSF,XPSFX
21,24.29,2011-05-13T00:00:00,5/13/2011,2011-05-13,-3.42,25.15,PSF,XPSFX
22,24.51,2011-05-20T00:00:00,5/20/2011,2011-05-20,-2.08,25.03,PSF,XPSFX
23,24.33,2011-05-27T00:00:00,5/27/2011,2011-05-27,-2.91,25.06,PSF,XPSFX
24,24.67,2011-06-03T00:00:00,6/3/2011,2011-06-03,-0.96,24.91,PSF,XPSFX
25,24.6,2011-06-10T00:00:00,6/10/2011,2011-06-10,-0.61,24.75,PSF,XPSFX
26,24.76,2011-06-17T00:00:00,6/17/2011,2011-06-17,1.23,24.46,PSF,XPSFX
27,24.14,2011-06-24T00:00:00,6/24/2011,2011-06-24,-1.35,24.47,PSF,XPSFX
28,24.65,2011-07-01T00:00:00,7/1/2011,2011-07-01,0.16,24.61,PSF,XPSFX
29,25.08,2011-07-08T00:00:00,7/8/2011,2011-07-08,1.37,24.74,PSF,XPSFX
30,24.73,2011-07-15T00:00:00,7/15/2011,2011-07-15,0.24,24.67,PSF,XPSFX
31,24.54,2011-07-22T00:00:00,7/22/2011,2011-07-22,0.16,24.5,PSF,XPSFX
32,23.02,2011-07-29T00:00:00,7/29/2011,2011-07-29,-5.66,24.4,PSF,XPSFX
33,22.61,2011-08-05T00:00:00,8/5/2011,2011-08-05,-5.25,23.86,PSF,XPSFX
34,22.74,2011-08-12T00:00:00,8/12/2011,2011-08-12,-1.69,23.13,PSF,XPSFX
35,23.22,2011-08-19T00:00:00,8/19/2011,2011-08-19,1.31,22.92,PSF,XPSFX
36,23.75,2011-08-26T00:00:00,8/26/2011,2011-08-26,4.17,22.8,PSF,XPSFX
37,23.71,2011-09-02T00:00:00,9/2/2011,2011-09-02,1.98,23.25,PSF,XPSFX
38,23.6,2011-09-09T00:00:00,9/9/2011,2011-09-09,2.52,23.02,PSF,XPSFX
39,23.04,2011-09-16T00:00:00,9/16/2011,2011-09-16,1.77,22.64,PSF,XPSFX
40,23.0,2011-09-23T00:00:00,9/23/2011,2011-09-23,3.98,22.12,PSF,XPSFX
41,23.33,2011-09-30T00:00:00,9/30/2011,2011-09-30,5.8,22.05,PSF,XPSFX
42,22.79,2011-10-07T00:00:00,10/7/2011,2011-10-07,5.56,21.59,PSF,XPSFX
43,23.2,2011-10-14T00:00:00,10/14/2011,2011-10-14,5.74,21.94,PSF,XPSFX
44,23.7,2011-10-21T00:00:00,10/21/2011,2011-10-21,6.56,22.24,PSF,XPSFX
45,23.33,2011-10-28T00:00:00,10/28/2011,2011-10-28,1.43,23.0,PSF,XPSFX
46,23.38,2011-11-04T00:00:00,11/4/2011,2011-11-04,2.14,22.89,PSF,XPSFX
47,23.33,2011-11-11T00:00:00,11/11/2011,2011-11-11,2.46,22.77,PSF,XPSFX
48,22.65,2011-11-18T00:00:00,11/18/2011,2011-11-18,0.62,22.51,PSF,XPSFX
49,22.02,2011-11-25T00:00:00,11/25/2011,2011-11-25,-0.63,22.16,PSF,XPSFX
50,21.92,2011-12-02T00:00:00,12/2/2011,2011-12-02,-0.99,22.14,PSF,XPSFX
51,21.94,2011-12-09T00:00:00,12/9/2011,2011-12-09,-2.06,22.4,PSF,XPSFX
52,21.96,2011-12-16T00:00:00,12/16/2011,2011-12-16,-1.74,22.35,PSF,XPSFX
53,21.47,2011-12-23T00:00:00,12/23/2011,2011-12-23,-4.11,22.39,PSF,XPSFX
54,21.68,2011-12-30T00:00:00,12/30/2011,2011-12-30,-4.07,22.6,PSF,XPSFX
55,22.63,2012-01-06T00:00:00,1/6/2012,2012-01-06,-1.61,23.0,PSF,XPSFX
56,23.12,2012-01-13T00:00:00,1/13/2012,2012-01-13,-0.39,23.21,PSF,XPSFX
57,23.26,2012-01-20T00:00:00,1/20/2012,2012-01-20,0.48,23.15,PSF,XPSFX
58,24.27,2012-01-27T00:00:00,1/27/2012,2012-01-27,2.75,23.62,PSF,XPSFX
59,24.62,2012-02-03T00:00:00,2/3/2012,2012-02-03,3.06,23.89,PSF,XPSFX
60,24.36,2012-02-10T00:00:00,2/10/2012,2012-02-10,1.59,23.98,PSF,XPSFX
61,23.65,2012-02-17T00:00:00,2/17/2012,2012-02-17,-1.34,23.97,PSF,XPSFX
62,24.22,2012-02-24T00:00:00,2/24/2012,2012-02-24,-0.04,24.23,PSF,XPSFX
63,24.37,2012-03-02T00:00:00,3/2/2012,2012-03-02,-0.61,24.52,PSF,XPSFX
64,24.68,2012-03-09T00:00:00,3/9/2012,2012-03-09,0.69,24.51,PSF,XPSFX
65,24.26,2012-03-16T00:00:00,3/16/2012,2012-03-16,-0.94,24.49,PSF,XPSFX
66,24.57,2012-03-23T00:00:00,3/23/2012,2012-03-23,0.0,24.57,PSF,XPSFX
67,24.8,2012-03-30T00:00:00,3/30/2012,2012-03-30,1.06,24.54,PSF,XPSFX
68,24.78,2012-04-13T00:00:00,4/13/2012,2012-04-13,0.81,24.58,PSF,XPSFX
69,24.37,2012-04-20T00:00:00,4/20/2012,2012-04-20,-0.29,24.44,PSF,XPSFX
