Date,Open,High,Low,Close,Adj Close,Volume
2010-11-26,25.0,25.059999,25.0,13.945778,25.01,6400
2010-11-29,25.040001,25.08,25.0,13.968084,25.049999,23300
2010-11-30,25.0,25.02,25.0,13.940202,25.0,27000
2010-12-01,25.01,25.02,25.0,13.940202,25.0,11800
2010-12-02,25.02,25.07,25.02,13.968084,25.049999,4700
2010-12-03,25.01,25.040001,25.0,13.962505,25.040001,13400
2010-12-06,25.040001,25.040001,25.0,13.940202,25.0,18600
2010-12-07,25.049999,25.049999,25.0,13.940202,25.0,14400
2010-12-08,25.02,25.030001,25.0,13.940202,25.0,14100
2010-12-09,25.0,25.02,25.0,13.940202,25.0,26800
2010-12-10,25.01,25.15,25.0,13.968084,25.049999,14900
2010-12-13,25.01,25.01,25.0,13.940202,25.0,9200
2010-12-14,25.0,25.040001,25.0,13.962505,25.040001,18100
2010-12-15,25.049999,25.049999,25.0,13.940202,25.0,44600
2010-12-16,25.0,25.01,25.0,13.945778,25.01,23200
2010-12-17,25.0,25.040001,25.0,13.940202,25.0,35800
2010-12-20,25.01,25.139999,25.0,14.01827,25.139999,32200
2010-12-21,25.120001,25.139999,25.01,13.995956,25.1,47300
2010-12-22,25.1,25.1,25.0,13.945778,25.01,16300
2010-12-23,25.0,25.1,25.0,13.995956,25.1,387500
2010-12-27,25.02,25.040001,25.0,13.940202,25.0,86300
2010-12-28,25.0,25.049999,25.0,13.940202,25.0,55400
2010-12-29,24.93,25.0,24.700001,14.025544,24.98,74600
2010-12-30,24.85,24.959999,24.83,13.941325,24.83,63800
2010-12-31,24.83,24.879999,24.83,13.941325,24.83,26100
2011-01-03,24.83,25.07,24.83,14.025544,24.98,31700
2011-01-04,24.870001,25.200001,24.83,14.06485,25.049999,84300
2011-01-05,25.049999,25.15,24.15,14.031157,24.99,52500
2011-01-06,24.959999,25.09,24.83,14.081696,25.08,42900
2011-01-07,24.93,25.1,24.6,14.031157,24.99,33100
2011-01-10,24.879999,25.0,24.780001,14.008704,24.950001,11000
2011-01-11,24.940001,25.0,24.83,13.980626,24.9,22300
2011-01-12,25.1,25.1,24.879999,14.031157,24.99,29400
2011-01-13,24.969999,24.99,24.870001,14.008704,24.950001,16000
2011-01-14,24.76,25.200001,24.76,14.06485,25.049999,18600
2011-01-18,24.969999,25.049999,24.85,14.06485,25.049999,13100
2011-01-19,25.0,25.09,24.950001,14.014314,24.959999,25600
2011-01-20,25.0,25.07,24.9,13.986239,24.91,15000
2011-01-21,24.9,25.110001,24.9,14.008704,24.950001,23400
2011-01-24,24.92,24.959999,24.540001,13.829027,24.629999,29200
2011-01-25,24.639999,24.799999,24.299999,13.750423,24.49,20100
2011-01-26,24.450001,24.59,24.450001,13.7785,24.540001,13000
2011-01-27,24.549999,24.690001,24.549999,13.862717,24.690001,17100
2011-01-28,24.690001,24.690001,24.52,13.76727,24.52,17500
2011-01-31,24.82,24.84,24.450001,13.744804,24.48,15700
2011-02-01,24.65,25.0,24.48,13.969394,24.879999,26100
2011-02-02,24.629999,25.040001,24.629999,14.008704,24.950001,15800
2011-02-03,24.85,25.049999,24.799999,14.042389,25.01,13600
2011-02-04,24.9,25.1,24.809999,14.092923,25.1,10300
2011-02-07,25.0,25.1,24.83,14.092923,25.1,15900
2011-02-08,24.940001,25.09,24.9,14.06485,25.049999,22600
2011-02-09,25.09,25.1,25.01,14.053611,25.030001,13600
2011-02-10,25.0,25.09,25.0,14.048011,25.02,33200
2011-02-11,25.07,25.1,25.01,14.092923,25.1,20000
