,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.13,8/1/2017,,0.13,PTY
1,,,6/1/2017,6/8/2017,0.13,7/3/2017,,0.13,PTY
2,,,5/1/2017,5/9/2017,0.13,6/1/2017,,0.13,PTY
3,,,4/3/2017,4/11/2017,0.13,5/1/2017,,0.13,PTY
4,,,3/1/2017,3/9/2017,0.13,4/3/2017,,0.13,PTY
5,,,2/1/2017,2/9/2017,0.13,3/1/2017,,0.13,PTY
6,,,1/3/2017,1/11/2017,0.13,2/1/2017,,0.13,PTY
7,,,12/15/2016,12/22/2016,0.17,12/29/2016,S,0.17,PTY
8,,,12/1/2016,12/8/2016,0.13,1/3/2017,,0.13,PTY
9,,,11/1/2016,11/9/2016,0.13,12/1/2016,,0.13,PTY
10,,,10/3/2016,10/11/2016,0.13,11/1/2016,,0.13,PTY
11,,,9/1/2016,9/8/2016,0.13,10/3/2016,,0.13,PTY
12,,,8/1/2016,8/9/2016,0.13,9/1/2016,,0.13,PTY
13,,,7/1/2016,7/7/2016,0.13,8/1/2016,,0.13,PTY
14,,,6/1/2016,6/9/2016,0.13,7/1/2016,,0.13,PTY
15,,,5/2/2016,5/10/2016,0.13,6/1/2016,,0.13,PTY
16,,,4/1/2016,4/7/2016,0.13,5/2/2016,,0.13,PTY
17,,,3/1/2016,3/9/2016,0.13,4/1/2016,,0.13,PTY
18,,,2/1/2016,2/9/2016,0.13,3/1/2016,,0.13,PTY
19,,,1/4/2016,1/12/2016,0.13,2/1/2016,,0.13,PTY
20,,,12/11/2015,12/17/2015,0.03,12/29/2015,S,0.03,PTY
21,,,12/1/2015,12/9/2015,0.13,1/4/2016,,0.13,PTY
22,,,11/2/2015,11/9/2015,0.13,12/1/2015,,0.13,PTY
23,,,10/2/2015,10/7/2015,0.13,11/2/2015,,0.13,PTY
24,,,9/1/2015,9/9/2015,0.13,10/1/2015,,0.13,PTY
25,,,8/3/2015,8/11/2015,0.13,9/1/2015,,0.13,PTY
26,,,7/1/2015,7/9/2015,0.13,8/3/2015,,0.13,PTY
27,,,6/1/2015,6/9/2015,0.13,7/1/2015,,0.13,PTY
28,,,5/1/2015,5/7/2015,0.13,6/1/2015,,0.13,PTY
29,,,4/1/2015,4/9/2015,0.13,5/1/2015,,0.13,PTY
30,,,3/2/2015,3/10/2015,0.13,4/1/2015,,0.13,PTY
31,,,2/2/2015,2/10/2015,0.13,3/2/2015,,0.13,PTY
32,,,1/2/2015,1/8/2015,0.13,2/2/2015,,0.13,PTY
33,,,12/19/2014,12/24/2014,0.6498,1/16/2015,S,0.6498,PTY
34,,,12/1/2014,12/9/2014,0.13,1/2/2015,,0.13,PTY
35,,,11/3/2014,11/10/2014,0.13,12/1/2014,,0.13,PTY
36,,,10/1/2014,10/9/2014,0.13,11/3/2014,,0.13,PTY
37,,,9/2/2014,9/10/2014,0.13,10/1/2014,,0.13,PTY
38,,,8/1/2014,8/7/2014,0.13,9/2/2014,,0.13,PTY
39,,,7/1/2014,7/9/2014,0.13,8/1/2014,,0.13,PTY
