,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,15.0,2002-11-01T00:00:00,11/1/2002,2002-11-01,4.9,14.3,PZC,XPZCX
1,15.01,2002-11-08T00:00:00,11/8/2002,2002-11-08,4.67,14.34,PZC,XPZCX
2,15.0,2002-11-15T00:00:00,11/15/2002,2002-11-15,4.82,14.31,PZC,XPZCX
3,15.0,2002-11-22T00:00:00,11/22/2002,2002-11-22,4.97,14.29,PZC,XPZCX
4,15.0,2002-11-29T00:00:00,11/29/2002,2002-11-29,4.97,14.29,PZC,XPZCX
5,14.91,2002-12-06T00:00:00,12/6/2002,2002-12-06,4.12,14.32,PZC,XPZCX
6,14.15,2002-12-13T00:00:00,12/13/2002,2002-12-13,-1.26,14.33,PZC,XPZCX
7,14.05,2002-12-20T00:00:00,12/20/2002,2002-12-20,-1.4,14.25,PZC,XPZCX
8,14.0,2002-12-27T00:00:00,12/27/2002,2002-12-27,-1.34,14.19,PZC,XPZCX
9,14.2,2003-01-03T00:00:00,1/3/2003,2003-01-03,0.21,14.17,PZC,XPZCX
10,14.1,2003-01-10T00:00:00,1/10/2003,2003-01-10,-0.14,14.12,PZC,XPZCX
11,13.97,2003-01-17T00:00:00,1/17/2003,2003-01-17,-0.92,14.1,PZC,XPZCX
12,13.96,2003-01-24T00:00:00,1/24/2003,2003-01-24,-0.57,14.04,PZC,XPZCX
13,13.77,2003-01-31T00:00:00,1/31/2003,2003-01-31,-1.92,14.04,PZC,XPZCX
14,14.15,2003-02-07T00:00:00,2/7/2003,2003-02-07,0.57,14.07,PZC,XPZCX
15,14.05,2003-02-14T00:00:00,2/14/2003,2003-02-14,-0.35,14.1,PZC,XPZCX
16,13.7,2003-02-21T00:00:00,2/21/2003,2003-02-21,-3.11,14.14,PZC,XPZCX
17,14.0,2003-02-28T00:00:00,2/28/2003,2003-02-28,-1.27,14.18,PZC,XPZCX
18,14.5,2003-03-07T00:00:00,3/7/2003,2003-03-07,1.68,14.26,PZC,XPZCX
19,14.3,2003-03-14T00:00:00,3/14/2003,2003-03-14,0.0,14.3,PZC,XPZCX
20,14.19,2003-03-21T00:00:00,3/21/2003,2003-03-21,1.87,13.93,PZC,XPZCX
21,14.01,2003-03-28T00:00:00,3/28/2003,2003-03-28,-0.5,14.08,PZC,XPZCX
22,14.04,2003-04-04T00:00:00,4/4/2003,2003-04-04,2.26,13.73,PZC,XPZCX
23,13.99,2003-04-11T00:00:00,4/11/2003,2003-04-11,1.6,13.77,PZC,XPZCX
