Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.125,9.375,8.875,4.147191,8.875,13000
2000-01-04,9.0,9.0,8.875,4.176397,8.9375,11200
2000-01-05,9.125,9.125,8.75,4.088779,8.75,11000
2000-01-06,8.8125,8.8125,8.8125,4.117985,8.8125,4500
2000-01-07,9.0,9.375,9.0,4.380834,9.375,12100
2000-01-10,9.125,9.375,8.9375,4.205601,9.0,59500
2000-01-11,9.1875,9.1875,8.9375,4.205601,9.0,47300
2000-01-12,9.0,9.0,9.0,4.205601,9.0,1000
2000-01-13,8.96875,9.0,8.875,4.205601,9.0,42800
2000-01-14,9.59375,9.59375,9.25,4.322424,9.25,4900
2000-01-18,9.375,9.59375,9.0,4.301213,9.125,22000
2000-01-19,9.25,9.4375,9.25,4.448514,9.4375,5300
2000-01-20,9.34375,9.5,8.9375,4.242291,9.0,30600
2000-01-21,9.0,10.125,8.9375,4.772578,10.125,64700
2000-01-24,10.0,10.125,9.5,4.566355,9.6875,29800
2000-01-25,9.84375,10.625,9.6875,4.595817,9.75,13000
2000-01-26,10.125,10.25,9.6875,4.772578,10.125,15100
2000-01-27,10.0,10.0,9.375,4.419054,9.375,900
2000-01-28,9.5,10.0,9.5,4.595817,9.75,9800
2000-01-31,9.5,9.75,9.5,4.595817,9.75,1600
2000-02-01,10.0,10.0,10.0,4.713656,10.0,2300
2000-02-02,9.75,10.25,9.75,4.713656,10.0,12500
2000-02-03,9.875,10.0,9.75,4.713656,10.0,25500
2000-02-04,10.25,10.5,10.0,4.713656,10.0,4600
2000-02-07,10.125,10.125,10.0625,4.743117,10.0625,2500
2000-02-08,10.1875,10.1875,10.125,4.772578,10.125,7900
2000-02-09,10.09375,10.25,10.0625,4.772578,10.125,17600
2000-02-10,10.25,10.5625,10.0625,4.9788,10.5625,11300
2000-02-11,10.59375,10.625,10.0625,5.008261,10.625,11200
2000-02-14,10.75,11.375,10.75,5.361784,11.375,15800
2000-02-15,11.1875,11.375,11.125,5.302865,11.25,10400
2000-02-16,11.34375,12.5,10.5,5.008261,10.625,14500
2000-02-17,11.25,12.125,11.25,5.65639,12.0,13000
2000-02-18,11.75,12.0,11.5,5.420707,11.5,3900
2000-02-22,11.5,11.5,10.5,5.126103,10.875,53500
2000-02-23,10.5625,11.0,10.5625,5.155561,10.9375,10500
2000-02-24,10.90625,11.0,10.625,5.008261,10.625,6700
2000-02-25,10.875,11.0,10.875,5.185023,11.0,3500
2000-02-28,10.875,11.375,10.5625,5.302865,11.25,10600
2000-02-29,11.0,11.75,10.875,5.391245,11.4375,7000
2000-03-01,11.5,11.5,11.0,5.185023,11.0,2900
2000-03-02,11.125,11.375,11.125,5.243943,11.125,4000
2000-03-03,11.25,12.25,11.25,5.597469,11.875,5400
2000-03-06,11.53125,12.5,11.53125,5.89207,12.5,32900
2000-03-07,12.625,13.0,12.0,5.980452,12.6875,12600
2000-03-08,12.6875,13.5,12.6875,6.186675,13.125,13100
2000-03-09,13.0625,14.125,13.0625,6.658043,14.125,11100
2000-03-10,13.90625,15.25,13.90625,7.107309,15.07812,37800
2000-03-13,15.21875,15.25,13.5,7.070486,15.0,12900
2000-03-14,15.25,16.0,14.625,7.247248,15.375,24800
2000-03-15,15.375,15.375,14.5,6.952644,14.75,24900
2000-03-16,13.75,14.5,13.75,6.834804,14.5,14300
2000-03-17,14.71875,14.75,14.5625,6.952644,14.75,5400
2000-03-20,14.75,15.0,14.75,6.952644,14.75,30800
2000-03-21,15.0,15.0,14.75,7.011566,14.875,2500
2000-03-22,14.875,15.0,14.375,6.775882,14.375,10700
2000-03-23,13.875,14.0,13.75,6.5402,13.875,4600
2000-03-24,14.75,15.0,14.3125,7.070486,15.0,5300
2000-03-27,14.5625,15.625,13.875,6.5402,13.875,20400
2000-03-28,14.0,14.75,14.0,6.775882,14.375,8700
2000-03-29,14.625,14.625,14.375,6.775882,14.375,400
2000-03-30,14.75,15.0,14.125,7.070486,15.0,10600
2000-03-31,15.0,15.0,15.0,7.070486,15.0,0
2000-04-03,14.6875,14.75,14.5625,6.864265,14.5625,4500
2000-04-04,14.5,15.0,13.0,6.127754,13.0,25200
2000-04-05,12.25,12.875,12.0,6.068835,12.875,5100
2000-04-06,12.84375,13.0625,12.84375,6.157215,13.0625,2700
2000-04-07,13.0625,13.0625,13.0625,6.157215,13.0625,2100
2000-04-10,13.0625,13.0625,12.875,6.157215,13.0625,10400
2000-04-11,13.375,13.5625,13.0,6.127754,13.0,14500
2000-04-12,12.75,13.0625,12.5,6.098294,12.9375,35500
2000-04-13,12.84375,12.9375,12.75,6.009913,12.75,6000
2000-04-14,12.75,12.9375,12.75,6.009913,12.75,6700
2000-04-17,12.78125,12.875,12.75,6.068835,12.875,7700
2000-04-18,13.0,13.25,12.75,6.009913,12.75,3400
2000-04-19,13.125,13.125,12.75,6.127754,13.0,4600
2000-04-20,12.75,13.75,12.75,6.481279,13.75,8200
2000-04-24,13.625,13.625,12.875,6.127754,13.0,6400
2000-04-25,13.125,13.25,13.0,6.245596,13.25,1900
2000-04-26,13.25,13.75,13.25,6.481279,13.75,1700
2000-04-27,13.4375,13.75,13.4375,6.481279,13.75,4800
2000-04-28,13.90625,14.0,13.5,6.59912,14.0,12600
2000-05-01,14.25,14.5,13.875,6.834804,14.5,8700
2000-05-02,14.375,14.625,14.375,6.834804,14.5,10600
2000-05-03,14.5,14.5,14.5,6.834804,14.5,1100
2000-05-04,14.25,14.75,14.25,6.746422,14.3125,5700
2000-05-05,14.125,14.5,14.0,6.834804,14.5,1200
2000-05-08,14.25,14.4375,14.0,6.805343,14.4375,7700
2000-05-09,14.34375,14.34375,13.0,6.59912,14.0,15000
2000-05-10,13.625,13.75,13.625,6.45182,13.6875,5500
2000-05-11,14.4375,14.46875,13.625,6.569659,13.9375,7400
2000-05-12,13.90625,14.5,13.90625,6.834804,14.5,14200
2000-05-15,13.75,14.25,13.6875,6.481279,13.75,8400
2000-05-16,14.25,14.5,14.125,6.775882,14.375,4400
2000-05-17,14.4375,15.0,14.0,6.59912,14.0,36700
2000-05-18,14.0,14.25,14.0,6.658043,14.125,10500
2000-05-19,14.1875,14.25,13.625,6.59912,14.0,10600
2000-05-22,14.40625,14.4375,14.0,6.59912,14.0,27800
2000-05-23,14.59375,15.0,14.25,6.834804,14.5,42600
2000-05-24,12.375,13.75,12.375,6.987743,13.25,3500
2000-05-25,13.0,13.6875,13.0,7.119587,13.5,3300
2000-05-26,13.0,13.4375,11.0,6.987743,13.25,32400
2000-05-30,13.25,13.25,12.65625,6.674613,12.65625,1200
2000-05-31,12.875,13.25,12.5,6.59221,12.5,2900
2000-06-01,12.53125,13.0,12.53125,6.855899,13.0,1100
2000-06-02,12.625,12.625,12.25,6.658133,12.625,10300
2000-06-05,12.1875,12.625,12.1875,6.625171,12.5625,9400
2000-06-06,13.0,13.5625,12.875,6.855899,13.0,20400
2000-06-07,13.375,13.5625,12.75,6.757016,12.8125,4700
2000-06-08,13.0,13.5,12.75,6.724052,12.75,7100
2000-06-09,13.125,14.9375,12.9375,7.25143,13.75,61200
2000-06-12,13.75,14.5,13.5,7.185508,13.625,36700
2000-06-13,14.09375,14.125,13.5,7.383275,14.0,11700
2000-06-14,13.65625,13.875,13.375,7.284392,13.8125,9700
2000-06-15,13.6875,13.8125,12.5,7.053665,13.375,25900
2000-06-16,12.875,13.375,12.75,6.92182,13.125,14100
2000-06-19,13.21875,13.5,13.0625,6.888857,13.0625,11700
2000-06-20,13.25,13.25,12.6875,6.691094,12.6875,6000
2000-06-21,12.96875,13.125,12.875,6.789976,12.875,12200
2000-06-22,12.875,12.875,12.625,6.658133,12.625,3900
2000-06-23,12.625,13.0,12.625,6.789976,12.875,7200
2000-06-26,12.8125,13.0,12.625,6.855899,13.0,5400
2000-06-27,13.0,13.0,12.875,6.789976,12.875,4100
2000-06-28,12.875,12.875,12.25,6.625171,12.5625,12000
2000-06-29,13.125,13.125,13.0,6.855899,13.0,3700
2000-06-30,12.8125,13.125,12.8125,6.888857,13.0625,19600
2000-07-03,12.96875,13.0625,12.96875,6.888857,13.0625,3800
2000-07-05,12.90625,13.25,12.90625,6.855899,13.0,13800
2000-07-06,12.96875,13.0625,12.75,6.822937,12.9375,11600
2000-07-07,12.9375,13.125,12.625,6.658133,12.625,15800
2000-07-10,12.6875,13.0,12.625,6.658133,12.625,4800
2000-07-11,12.71875,13.4375,12.71875,7.086626,13.4375,6200
2000-07-12,13.4375,13.4375,13.375,7.053665,13.375,8200
2000-07-13,13.4375,13.4375,13.25,6.987743,13.25,3700
2000-07-14,12.9375,13.0,12.75,6.855899,13.0,3200
2000-07-17,12.9375,13.0,12.75,6.724052,12.75,1400
2000-07-18,12.8125,12.8125,12.6875,6.691094,12.6875,500
2000-07-19,12.6875,13.1875,12.6875,6.789976,12.875,1800
2000-07-20,13.0,13.1875,12.5,6.59221,12.5,23500
2000-07-21,12.5,12.875,12.5,6.658133,12.625,3100
2000-07-24,12.625,12.75,11.875,6.724052,12.75,16200
2000-07-25,12.75,12.75,12.0,6.724052,12.75,17400
2000-07-26,12.375,12.4375,12.25,6.55925,12.4375,12200
2000-07-27,12.4375,12.5625,12.375,6.55925,12.4375,500
2000-07-28,12.3125,12.4375,11.75,6.196677,11.75,13500
2000-07-31,11.28125,11.3125,11.25,5.932988,11.25,2600
2000-08-01,11.5,11.9375,11.5,6.295561,11.9375,10700
2000-08-02,11.9375,12.0625,11.9375,6.361483,12.0625,400
2000-08-03,12.25,12.25,12.0,6.361483,12.0625,8900
2000-08-04,12.5,12.75,12.5,6.724052,12.75,3900
2000-08-07,12.625,12.875,12.0625,6.724052,12.75,6800
2000-08-08,12.625,12.625,12.3125,6.658133,12.625,1200
