,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.072,8/1/2017,,0.072,RCS
1,,,6/1/2017,6/8/2017,0.072,7/3/2017,,0.072,RCS
2,,,5/1/2017,5/9/2017,0.072,6/1/2017,,0.072,RCS
3,,,4/3/2017,4/11/2017,0.072,5/1/2017,,0.072,RCS
4,,,3/1/2017,3/9/2017,0.072,4/3/2017,,0.072,RCS
5,,,2/1/2017,2/9/2017,0.072,3/1/2017,,0.072,RCS
6,,,1/3/2017,1/11/2017,0.08,2/1/2017,,0.08,RCS
7,,,12/1/2016,12/8/2016,0.08,1/3/2017,,0.08,RCS
8,,,11/1/2016,11/9/2016,0.08,12/1/2016,,0.08,RCS
9,,,10/3/2016,10/11/2016,0.08,11/1/2016,,0.08,RCS
10,,,9/1/2016,9/8/2016,0.08,10/3/2016,,0.08,RCS
11,,,8/1/2016,8/9/2016,0.08,9/1/2016,,0.08,RCS
12,,,7/1/2016,7/7/2016,0.08,8/1/2016,,0.08,RCS
13,,,6/1/2016,6/9/2016,0.08,7/1/2016,,0.08,RCS
14,,,5/2/2016,5/10/2016,0.08,6/1/2016,,0.08,RCS
15,,,4/1/2016,4/7/2016,0.08,5/2/2016,,0.08,RCS
16,,,3/1/2016,3/9/2016,0.08,4/1/2016,,0.08,RCS
17,,,2/1/2016,2/9/2016,0.08,3/1/2016,,0.08,RCS
18,,,1/4/2016,1/12/2016,0.08,2/1/2016,,0.08,RCS
19,,,12/11/2015,12/17/2015,0.04,12/29/2015,S,0.04,RCS
20,,,12/1/2015,12/9/2015,0.08,1/4/2016,,0.08,RCS
21,,,11/2/2015,11/9/2015,0.08,12/1/2015,,0.08,RCS
22,,,10/2/2015,10/7/2015,0.08,11/2/2015,,0.08,RCS
23,,,9/1/2015,9/9/2015,0.08,10/1/2015,,0.08,RCS
24,,,8/3/2015,8/11/2015,0.08,9/1/2015,,0.08,RCS
25,,,7/1/2015,7/9/2015,0.08,8/3/2015,,0.08,RCS
26,,,6/1/2015,6/9/2015,0.08,7/1/2015,,0.08,RCS
27,,,5/1/2015,5/7/2015,0.08,6/1/2015,,0.08,RCS
28,,,4/1/2015,4/9/2015,0.08,5/1/2015,,0.08,RCS
29,,,3/2/2015,3/10/2015,0.08,4/1/2015,,0.08,RCS
30,,,2/2/2015,2/10/2015,0.08,3/2/2015,,0.08,RCS
31,,,1/2/2015,1/8/2015,0.08,2/2/2015,,0.08,RCS
32,,,12/19/2014,12/24/2014,0.0622,1/16/2015,S,0.0622,RCS
33,,,12/1/2014,12/9/2014,0.08,1/2/2015,,0.08,RCS
34,,,11/3/2014,11/10/2014,0.08,12/1/2014,,0.08,RCS
35,,,10/1/2014,10/9/2014,0.08,11/3/2014,,0.08,RCS
