Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,8.9375,9.125,8.9375,1.57849,9.0625,148300
2000-01-04,9.0,9.0625,8.875,1.545832,8.875,67500
2000-01-05,8.875,8.9375,8.875,1.545832,8.875,41900
2000-01-06,8.9375,9.0,8.9375,1.556718,8.9375,61100
2000-01-07,8.9375,9.0,8.875,1.567604,9.0,26000
2000-01-10,8.9375,8.9375,8.875,1.545832,8.875,21000
2000-01-11,8.9375,9.0,8.875,1.545832,8.875,40800
2000-01-12,8.875,8.875,8.8125,1.534946,8.8125,42400
2000-01-13,8.8125,8.9375,8.8125,1.556718,8.9375,25100
2000-01-14,8.875,8.9375,8.8125,1.534946,8.8125,41900
2000-01-18,8.8125,8.875,8.8125,1.534946,8.8125,85800
2000-01-19,8.8125,8.875,8.75,1.52406,8.75,70600
2000-01-20,8.75,8.8125,8.75,1.534946,8.8125,66700
2000-01-21,8.75,8.8125,8.75,1.52406,8.75,28900
2000-01-24,8.8125,8.8125,8.75,1.52406,8.75,129800
2000-01-25,8.8125,8.875,8.75,1.534946,8.8125,61000
2000-01-26,8.75,8.875,8.75,1.534946,8.8125,47000
2000-01-27,8.875,8.875,8.8125,1.534946,8.8125,34300
2000-01-28,8.875,8.9375,8.8125,1.545832,8.875,132800
2000-01-31,8.875,9.125,8.875,1.589375,9.125,86600
2000-02-01,9.0,9.0,8.9375,1.556718,8.9375,42600
2000-02-02,8.9375,9.0,8.875,1.545832,8.875,43600
2000-02-03,8.875,9.0,8.875,1.545832,8.875,24700
2000-02-04,9.0,9.0625,8.875,1.556718,8.9375,57600
2000-02-07,8.9375,9.0,8.8125,1.534946,8.8125,30200
2000-02-08,8.8125,8.875,8.8125,1.534946,8.8125,18700
2000-02-09,8.8125,8.875,8.625,1.536966,8.75,38700
2000-02-10,8.75,8.875,8.75,1.536966,8.75,31900
2000-02-11,8.75,8.875,8.75,1.547943,8.8125,46900
2000-02-14,8.875,8.875,8.75,1.536966,8.75,39000
2000-02-15,8.875,8.875,8.75,1.547943,8.8125,43500
2000-02-16,8.8125,8.875,8.75,1.558922,8.875,26700
2000-02-17,8.875,8.875,8.75,1.536966,8.75,62900
2000-02-18,8.8125,8.875,8.75,1.536966,8.75,61100
2000-02-22,8.875,8.875,8.75,1.547943,8.8125,95200
2000-02-23,8.75,8.8125,8.75,1.547943,8.8125,51300
2000-02-24,8.8125,8.8125,8.75,1.536966,8.75,58400
2000-02-25,8.75,8.8125,8.75,1.547943,8.8125,36600
2000-02-28,8.75,8.875,8.75,1.558922,8.875,61600
2000-02-29,8.8125,8.8125,8.75,1.536966,8.75,121300
2000-03-01,8.8125,8.9375,8.75,1.536966,8.75,177900
2000-03-02,8.75,8.8125,8.75,1.547943,8.8125,25000
2000-03-03,8.8125,8.8125,8.75,1.536966,8.75,191000
2000-03-06,8.75,8.8125,8.75,1.536966,8.75,47600
2000-03-07,8.75,8.875,8.75,1.536966,8.75,76200
2000-03-08,8.8125,8.8125,8.75,1.547943,8.8125,35400
2000-03-09,8.75,8.8125,8.75,1.549982,8.75,31500
2000-03-10,8.75,8.8125,8.75,1.549982,8.75,33000
2000-03-13,8.8125,8.8125,8.75,1.549982,8.75,30500
2000-03-14,8.75,8.8125,8.75,1.549982,8.75,116700
2000-03-15,8.75,8.78125,8.75,1.549982,8.75,53300
2000-03-16,8.75,8.8125,8.75,1.561052,8.8125,65300
2000-03-17,8.75,8.8125,8.75,1.549982,8.75,27600
2000-03-20,8.75,8.8125,8.75,1.549982,8.75,45600
2000-03-21,8.75,8.8125,8.75,1.561052,8.8125,49600
2000-03-22,8.875,8.875,8.75,1.549982,8.75,53900
2000-03-23,8.75,8.8125,8.75,1.561052,8.8125,48000
2000-03-24,8.875,8.875,8.75,1.549982,8.75,33900
2000-03-27,8.8125,8.8125,8.75,1.549982,8.75,35000
2000-03-28,8.8125,8.8125,8.6875,1.549982,8.75,107000
2000-03-29,8.75,8.8125,8.75,1.561052,8.8125,51500
2000-03-30,8.75,8.8125,8.75,1.549982,8.75,33700
2000-03-31,8.75,8.8125,8.75,1.561052,8.8125,44100
2000-04-03,8.8125,8.8125,8.75,1.549982,8.75,36400
