Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,10.75,11.0625,10.75,2.157799,10.875,17800
2000-01-04,11.0,11.0,10.8125,2.145399,10.8125,7400
2000-01-05,10.75,10.9375,10.75,2.132999,10.75,8000
2000-01-06,10.8125,11.0625,10.75,2.195004,11.0625,10400
2000-01-07,11.0,11.1875,11.0,2.219806,11.1875,9700
2000-01-10,11.0625,11.375,11.0625,2.207405,11.125,22300
2000-01-11,11.0625,11.1875,11.0625,2.207405,11.125,11800
2000-01-12,11.0625,11.3125,11.0625,2.223392,11.125,8100
2000-01-13,11.0625,11.3125,11.0,2.210902,11.0625,17400
2000-01-14,11.0625,11.3125,11.0,2.198412,11.0,12500
2000-01-18,11.0625,11.0625,10.875,2.185921,10.9375,14400
2000-01-19,11.0,11.1875,11.0,2.198412,11.0,24900
2000-01-20,11.0,11.4375,11.0,2.248375,11.25,17100
2000-01-21,11.4375,11.4375,11.125,2.260865,11.3125,21600
2000-01-24,11.0625,11.125,10.9375,2.198412,11.0,22300
2000-01-25,11.0625,11.0625,10.875,2.173428,10.875,16000
2000-01-26,11.0625,11.0625,10.875,2.198412,11.0,33100
2000-01-27,11.0,11.0625,10.75,2.198412,11.0,47300
2000-01-28,11.0625,11.0625,11.0,2.198412,11.0,8800
2000-01-31,11.0625,11.1875,11.0,2.235884,11.1875,26600
2000-02-01,11.125,11.1875,11.0,2.198412,11.0,16200
2000-02-02,11.0625,11.0625,10.75,2.173428,10.875,29300
2000-02-03,10.75,11.125,10.75,2.198412,11.0,14600
2000-02-04,11.125,11.1875,10.875,2.173428,10.875,13400
2000-02-07,11.0,11.0,10.8125,2.160939,10.8125,21900
2000-02-08,10.875,10.875,10.5625,2.123466,10.625,12300
2000-02-09,10.625,10.875,10.5,2.098484,10.5,28500
2000-02-10,10.5,10.75,10.5,2.148447,10.75,14500
2000-02-11,10.5625,10.5625,10.375,2.114216,10.5,8300
2000-02-14,10.5,10.75,10.3125,2.164556,10.75,15600
2000-02-15,10.875,10.9375,10.75,2.164556,10.75,25200
2000-02-16,10.75,10.9375,10.6875,2.202309,10.9375,11900
2000-02-17,10.8125,11.0,10.8125,2.189726,10.875,14400
2000-02-18,10.8125,10.9375,10.8125,2.202309,10.9375,2200
2000-02-22,10.875,10.875,10.75,2.164556,10.75,9800
2000-02-23,10.875,10.875,10.75,2.17714,10.8125,10000
2000-02-24,10.9375,10.9375,10.75,2.164556,10.75,6700
