,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,8.46,2013-11-01T00:00:00,11/1/2013,2013-11-01,-13.59,9.79,RGT,XRGTX
1,8.51,2013-11-08T00:00:00,11/8/2013,2013-11-08,-12.72,9.75,RGT,XRGTX
2,8.53,2013-11-15T00:00:00,11/15/2013,2013-11-15,-13.05,9.81,RGT,XRGTX
3,8.63,2013-11-22T00:00:00,11/22/2013,2013-11-22,-12.12,9.82,RGT,XRGTX
4,8.73,2013-11-29T00:00:00,11/29/2013,2013-11-29,-11.37,9.85,RGT,XRGTX
5,8.65,2013-12-06T00:00:00,12/6/2013,2013-12-06,-11.19,9.74,RGT,XRGTX
6,8.5975,2013-12-13T00:00:00,12/13/2013,2013-12-13,-11.18,9.68,RGT,XRGTX
7,8.63,2013-12-20T00:00:00,12/20/2013,2013-12-20,-12.12,9.82,RGT,XRGTX
8,8.79,2013-12-27T00:00:00,12/27/2013,2013-12-27,-11.92,9.98,RGT,XRGTX
9,8.81,2014-01-03T00:00:00,1/3/2014,2014-01-03,-12.08,10.02,RGT,XRGTX
10,8.75,2014-01-10T00:00:00,1/10/2014,2014-01-10,-13.54,10.12,RGT,XRGTX
11,8.81,2014-01-17T00:00:00,1/17/2014,2014-01-17,-12.6,10.08,RGT,XRGTX
12,8.82,2014-01-24T00:00:00,1/24/2014,2014-01-24,-10.18,9.82,RGT,XRGTX
13,8.69,2014-01-31T00:00:00,1/31/2014,2014-01-31,-10.23,9.68,RGT,XRGTX
14,8.48,2014-02-07T00:00:00,2/7/2014,2014-02-07,-12.49,9.69,RGT,XRGTX
15,8.53,2014-02-14T00:00:00,2/14/2014,2014-02-14,-14.36,9.96,RGT,XRGTX
16,8.63,2014-02-21T00:00:00,2/21/2014,2014-02-21,-13.7,10.0,RGT,XRGTX
17,8.7,2014-02-28T00:00:00,2/28/2014,2014-02-28,-13.43,10.05,RGT,XRGTX
18,8.7598,2014-03-07T00:00:00,3/7/2014,2014-03-07,-13.61,10.14,RGT,XRGTX
19,8.63,2014-03-14T00:00:00,3/14/2014,2014-03-14,-13.53,9.98,RGT,XRGTX
20,8.75,2014-03-21T00:00:00,3/21/2014,2014-03-21,-12.85,10.04,RGT,XRGTX
21,8.9638,2014-03-28T00:00:00,3/28/2014,2014-03-28,-11.34,10.11,RGT,XRGTX
22,8.9,2014-04-04T00:00:00,4/4/2014,2014-04-04,-12.92,10.22,RGT,XRGTX
23,8.81,2014-04-11T00:00:00,4/11/2014,2014-04-11,-12.51,10.07,RGT,XRGTX
24,8.92,2014-04-25T00:00:00,4/25/2014,2014-04-25,-12.38,10.18,RGT,XRGTX
25,8.987,2014-05-02T00:00:00,5/2/2014,2014-05-02,-12.66,10.29,RGT,XRGTX
26,8.98,2014-05-09T00:00:00,5/9/2014,2014-05-09,-12.65,10.28,RGT,XRGTX
27,9.0,2014-05-16T00:00:00,5/16/2014,2014-05-16,-12.2,10.25,RGT,XRGTX
28,9.08,2014-05-23T00:00:00,5/23/2014,2014-05-23,-11.84,10.3,RGT,XRGTX
29,9.1502,2014-05-30T00:00:00,5/30/2014,2014-05-30,-11.42,10.33,RGT,XRGTX
30,9.19,2014-06-06T00:00:00,6/6/2014,2014-06-06,-11.89,10.43,RGT,XRGTX
31,9.1496,2014-06-13T00:00:00,6/13/2014,2014-06-13,-12.44,10.45,RGT,XRGTX
32,9.24,2014-06-20T00:00:00,6/20/2014,2014-06-20,-11.92,10.49,RGT,XRGTX
33,9.49,2014-06-27T00:00:00,6/27/2014,2014-06-27,-9.88,10.53,RGT,XRGTX
34,9.33,2014-07-11T00:00:00,7/11/2014,2014-07-11,-11.14,10.5,RGT,XRGTX
35,9.35,2014-07-18T00:00:00,7/18/2014,2014-07-18,-10.95,10.5,RGT,XRGTX
36,9.32,2014-07-25T00:00:00,7/25/2014,2014-07-25,-11.74,10.56,RGT,XRGTX
37,9.3,2014-08-01T00:00:00,8/1/2014,2014-08-01,-10.14,10.35,RGT,XRGTX
38,9.04,2014-08-08T00:00:00,8/8/2014,2014-08-08,-12.06,10.28,RGT,XRGTX
39,9.1399,2014-08-15T00:00:00,8/15/2014,2014-08-15,-12.03,10.39,RGT,XRGTX
40,9.2,2014-08-22T00:00:00,8/22/2014,2014-08-22,-12.46,10.51,RGT,XRGTX
41,9.27,2014-08-29T00:00:00,8/29/2014,2014-08-29,-11.88,10.52,RGT,XRGTX
42,9.2982,2014-09-05T00:00:00,9/5/2014,2014-09-05,-11.7,10.53,RGT,XRGTX
43,9.05,2014-09-12T00:00:00,9/12/2014,2014-09-12,-11.96,10.28,RGT,XRGTX
44,8.99,2014-09-19T00:00:00,9/19/2014,2014-09-19,-11.95,10.21,RGT,XRGTX
45,8.87,2014-09-26T00:00:00,9/26/2014,2014-09-26,-10.85,9.95,RGT,XRGTX
46,8.59,2014-10-03T00:00:00,10/3/2014,2014-10-03,-11.26,9.68,RGT,XRGTX
47,8.26,2014-10-10T00:00:00,10/10/2014,2014-10-10,-12.03,9.39,RGT,XRGTX
48,8.26,2014-10-17T00:00:00,10/17/2014,2014-10-17,-12.22,9.41,RGT,XRGTX
49,8.4,2014-10-24T00:00:00,10/24/2014,2014-10-24,-12.04,9.55,RGT,XRGTX
50,8.6,2014-10-31T00:00:00,10/31/2014,2014-10-31,-11.34,9.7,RGT,XRGTX
51,8.4,2014-11-07T00:00:00,11/7/2014,2014-11-07,-12.77,9.63,RGT,XRGTX
52,8.39,2014-11-14T00:00:00,11/14/2014,2014-11-14,-13.24,9.67,RGT,XRGTX
53,8.5,2014-11-21T00:00:00,11/21/2014,2014-11-21,-12.01,9.66,RGT,XRGTX
54,8.49,2014-11-28T00:00:00,11/28/2014,2014-11-28,-11.38,9.58,RGT,XRGTX
55,8.35,2014-12-05T00:00:00,12/5/2014,2014-12-05,-12.2,9.51,RGT,XRGTX
56,7.97,2014-12-12T00:00:00,12/12/2014,2014-12-12,-11.84,9.04,RGT,XRGTX
57,7.94,2014-12-19T00:00:00,12/19/2014,2014-12-19,-13.03,9.13,RGT,XRGTX
58,8.0655,2014-12-26T00:00:00,12/26/2014,2014-12-26,-12.52,9.22,RGT,XRGTX
59,8.06,2015-01-02T00:00:00,1/2/2015,2015-01-02,-12.68,9.23,RGT,XRGTX
60,7.9144,2015-01-09T00:00:00,1/9/2015,2015-01-09,-13.41,9.14,RGT,XRGTX
61,7.93,2015-01-16T00:00:00,1/16/2015,2015-01-16,-12.67,9.08,RGT,XRGTX
62,7.98,2015-01-23T00:00:00,1/23/2015,2015-01-23,-12.11,9.08,RGT,XRGTX
63,7.86,2015-01-30T00:00:00,1/30/2015,2015-01-30,-13.15,9.05,RGT,XRGTX
64,8.01,2015-02-06T00:00:00,2/6/2015,2015-02-06,-13.69,9.28,RGT,XRGTX
65,8.09,2015-02-13T00:00:00,2/13/2015,2015-02-13,-14.03,9.41,RGT,XRGTX
66,8.11,2015-02-20T00:00:00,2/20/2015,2015-02-20,-14.36,9.47,RGT,XRGTX
67,8.19,2015-02-27T00:00:00,2/27/2015,2015-02-27,-13.52,9.47,RGT,XRGTX
68,8.03,2015-03-06T00:00:00,3/6/2015,2015-03-06,-13.19,9.25,RGT,XRGTX
69,7.9396,2015-03-13T00:00:00,3/13/2015,2015-03-13,-12.66,9.09,RGT,XRGTX
70,8.01,2015-03-20T00:00:00,3/20/2015,2015-03-20,-14.24,9.34,RGT,XRGTX
71,8.01,2015-03-27T00:00:00,3/27/2015,2015-03-27,-13.87,9.3,RGT,XRGTX
72,8.2964,2015-04-10T00:00:00,4/10/2015,2015-04-10,-13.85,9.63,RGT,XRGTX
73,8.29,2015-04-17T00:00:00,4/17/2015,2015-04-17,-14.18,9.66,RGT,XRGTX
74,8.44,2015-04-24T00:00:00,4/24/2015,2015-04-24,-14.05,9.82,RGT,XRGTX
75,8.47,2015-05-01T00:00:00,5/1/2015,2015-05-01,-14.18,9.87,RGT,XRGTX
76,8.5,2015-05-08T00:00:00,5/8/2015,2015-05-08,-14.57,9.95,RGT,XRGTX
77,8.73,2015-05-15T00:00:00,5/15/2015,2015-05-15,-14.24,10.18,RGT,XRGTX
78,8.74,2015-05-22T00:00:00,5/22/2015,2015-05-22,-13.64,10.12,RGT,XRGTX
79,8.41,2015-05-29T00:00:00,5/29/2015,2015-05-29,-15.31,9.93,RGT,XRGTX
80,8.6042,2015-06-05T00:00:00,6/5/2015,2015-06-05,-13.09,9.9,RGT,XRGTX
81,8.55,2015-06-12T00:00:00,6/12/2015,2015-06-12,-14.41,9.99,RGT,XRGTX
82,8.44,2015-06-19T00:00:00,6/19/2015,2015-06-19,-15.09,9.94,RGT,XRGTX
83,8.4401,2015-06-26T00:00:00,6/26/2015,2015-06-26,-15.09,9.94,RGT,XRGTX
84,8.04,2015-07-10T00:00:00,7/10/2015,2015-07-10,-15.99,9.57,RGT,XRGTX
85,8.17,2015-07-17T00:00:00,7/17/2015,2015-07-17,-14.9,9.6,RGT,XRGTX
86,7.96,2015-07-24T00:00:00,7/24/2015,2015-07-24,-15.77,9.45,RGT,XRGTX
87,7.95,2015-07-31T00:00:00,7/31/2015,2015-07-31,-15.61,9.42,RGT,XRGTX
88,7.89,2015-08-07T00:00:00,8/7/2015,2015-08-07,-15.61,9.35,RGT,XRGTX
89,7.8608,2015-08-14T00:00:00,8/14/2015,2015-08-14,-16.2,9.38,RGT,XRGTX
90,7.499,2015-08-21T00:00:00,8/21/2015,2015-08-21,-15.74,8.9,RGT,XRGTX
91,7.42,2015-08-28T00:00:00,8/28/2015,2015-08-28,-16.44,8.88,RGT,XRGTX
92,7.2,2015-09-04T00:00:00,9/4/2015,2015-09-04,-16.18,8.59,RGT,XRGTX
93,7.3,2015-09-11T00:00:00,9/11/2015,2015-09-11,-16.95,8.79,RGT,XRGTX
94,7.29,2015-09-18T00:00:00,9/18/2015,2015-09-18,-16.78,8.76,RGT,XRGTX
95,7.13,2015-09-25T00:00:00,9/25/2015,2015-09-25,-16.8,8.57,RGT,XRGTX
96,7.14,2015-10-02T00:00:00,10/2/2015,2015-10-02,-18.4,8.75,RGT,XRGTX
97,7.47,2015-10-09T00:00:00,10/9/2015,2015-10-09,-17.73,9.08,RGT,XRGTX
98,7.53,2015-10-16T00:00:00,10/16/2015,2015-10-16,-16.7,9.04,RGT,XRGTX
99,7.66,2015-10-23T00:00:00,10/23/2015,2015-10-23,-16.1,9.13,RGT,XRGTX
100,7.53,2015-10-30T00:00:00,10/30/2015,2015-10-30,-16.98,9.07,RGT,XRGTX
101,7.49,2015-11-06T00:00:00,11/6/2015,2015-11-06,-17.42,9.07,RGT,XRGTX
102,7.22,2015-11-13T00:00:00,11/13/2015,2015-11-13,-18.88,8.9,RGT,XRGTX
103,7.43,2015-11-20T00:00:00,11/20/2015,2015-11-20,-18.17,9.08,RGT,XRGTX
104,7.46,2015-11-27T00:00:00,11/27/2015,2015-11-27,-17.84,9.08,RGT,XRGTX
105,7.52,2015-12-04T00:00:00,12/4/2015,2015-12-04,-18.08,9.18,RGT,XRGTX
106,7.06,2015-12-11T00:00:00,12/11/2015,2015-12-11,-18.85,8.7,RGT,XRGTX
107,7.04,2015-12-18T00:00:00,12/18/2015,2015-12-18,-18.89,8.68,RGT,XRGTX
108,6.93,2016-01-08T00:00:00,1/8/2016,2016-01-08,-16.91,8.34,RGT,XRGTX
109,6.48,2016-01-15T00:00:00,1/15/2016,2016-01-15,-18.49,7.95,RGT,XRGTX
110,6.51,2016-01-22T00:00:00,1/22/2016,2016-01-22,-17.8,7.92,RGT,XRGTX
111,6.67,2016-01-29T00:00:00,1/29/2016,2016-01-29,-18.06,8.14,RGT,XRGTX
112,6.59,2016-02-05T00:00:00,2/5/2016,2016-02-05,-18.14,8.05,RGT,XRGTX
113,6.39,2016-02-12T00:00:00,2/12/2016,2016-02-12,-17.65,7.76,RGT,XRGTX
114,6.5546,2016-02-19T00:00:00,2/19/2016,2016-02-19,-18.88,8.08,RGT,XRGTX
115,6.69,2016-02-26T00:00:00,2/26/2016,2016-02-26,-17.91,8.15,RGT,XRGTX
116,7.04,2016-03-04T00:00:00,3/4/2016,2016-03-04,-18.04,8.59,RGT,XRGTX
117,7.22,2016-03-11T00:00:00,3/11/2016,2016-03-11,-16.82,8.68,RGT,XRGTX
118,7.41,2016-03-18T00:00:00,3/18/2016,2016-03-18,-17.02,8.93,RGT,XRGTX
119,7.33,2016-04-01T00:00:00,4/1/2016,2016-04-01,-18.19,8.96,RGT,XRGTX
120,7.34,2016-04-08T00:00:00,4/8/2016,2016-04-08,-17.71,8.92,RGT,XRGTX
121,7.47,2016-04-15T00:00:00,4/15/2016,2016-04-15,-17.91,9.1,RGT,XRGTX
122,7.56,2016-04-22T00:00:00,4/22/2016,2016-04-22,-17.65,9.18,RGT,XRGTX
123,7.56,2016-04-29T00:00:00,4/29/2016,2016-04-29,-18.36,9.26,RGT,XRGTX
124,7.47,2016-05-06T00:00:00,5/6/2016,2016-05-06,-17.46,9.05,RGT,XRGTX
125,7.52,2016-05-13T00:00:00,5/13/2016,2016-05-13,-16.72,9.03,RGT,XRGTX
126,7.45,2016-05-20T00:00:00,5/20/2016,2016-05-20,-18.22,9.11,RGT,XRGTX
127,7.66,2016-05-27T00:00:00,5/27/2016,2016-05-27,-17.1,9.24,RGT,XRGTX
128,7.72,2016-06-03T00:00:00,6/3/2016,2016-06-03,-17.96,9.41,RGT,XRGTX
129,7.72,2016-06-10T00:00:00,6/10/2016,2016-06-10,-17.17,9.32,RGT,XRGTX
130,7.56,2016-06-17T00:00:00,6/17/2016,2016-06-17,-17.11,9.12,RGT,XRGTX
131,7.34,2016-06-24T00:00:00,6/24/2016,2016-06-24,-17.9,8.94,RGT,XRGTX
132,7.62,2016-07-01T00:00:00,7/1/2016,2016-07-01,-17.26,9.21,RGT,XRGTX
133,7.65,2016-07-08T00:00:00,7/8/2016,2016-07-08,-16.21,9.13,RGT,XRGTX
134,7.72,2016-07-15T00:00:00,7/15/2016,2016-07-15,-17.26,9.33,RGT,XRGTX
135,7.76,2016-07-22T00:00:00,7/22/2016,2016-07-22,-17.18,9.37,RGT,XRGTX
136,7.93,2016-07-29T00:00:00,7/29/2016,2016-07-29,-16.53,9.5,RGT,XRGTX
137,7.92,2016-08-05T00:00:00,8/5/2016,2016-08-05,-16.72,9.51,RGT,XRGTX
138,8.0501,2016-08-12T00:00:00,8/12/2016,2016-08-12,-16.49,9.64,RGT,XRGTX
139,8.0438,2016-08-19T00:00:00,8/19/2016,2016-08-19,-16.64,9.65,RGT,XRGTX
140,8.0699,2016-08-26T00:00:00,8/26/2016,2016-08-26,-15.5,9.55,RGT,XRGTX
141,8.144,2016-09-02T00:00:00,9/2/2016,2016-09-02,-15.61,9.65,RGT,XRGTX
142,8.06,2016-09-09T00:00:00,9/9/2016,2016-09-09,-15.87,9.58,RGT,XRGTX
143,7.9,2016-09-16T00:00:00,9/16/2016,2016-09-16,-17.02,9.52,RGT,XRGTX
144,8.13,2016-09-23T00:00:00,9/23/2016,2016-09-23,-16.44,9.73,RGT,XRGTX
145,8.125,2016-09-30T00:00:00,9/30/2016,2016-09-30,-16.5,9.73,RGT,XRGTX
146,8.06,2016-10-07T00:00:00,10/7/2016,2016-10-07,-16.22,9.62,RGT,XRGTX
147,7.9132,2016-10-14T00:00:00,10/14/2016,2016-10-14,-16.35,9.46,RGT,XRGTX
148,7.87,2016-10-21T00:00:00,10/21/2016,2016-10-21,-17.33,9.52,RGT,XRGTX
149,7.79,2016-10-28T00:00:00,10/28/2016,2016-10-28,-17.48,9.44,RGT,XRGTX
150,7.6401,2016-11-04T00:00:00,11/4/2016,2016-11-04,-18.02,9.32,RGT,XRGTX
151,7.77,2016-11-11T00:00:00,11/11/2016,2016-11-11,-17.86,9.46,RGT,XRGTX
152,7.77,2016-11-18T00:00:00,11/18/2016,2016-11-18,-18.12,9.49,RGT,XRGTX
153,7.95,2016-11-25T00:00:00,11/25/2016,2016-11-25,-17.27,9.61,RGT,XRGTX
154,7.92,2016-12-02T00:00:00,12/2/2016,2016-12-02,-17.24,9.57,RGT,XRGTX
155,8.05,2016-12-09T00:00:00,12/9/2016,2016-12-09,-16.75,9.67,RGT,XRGTX
156,7.96,2016-12-16T00:00:00,12/16/2016,2016-12-16,-16.56,9.54,RGT,XRGTX
157,7.93,2016-12-23T00:00:00,12/23/2016,2016-12-23,-17.14,9.57,RGT,XRGTX
158,8.0364,2016-12-30T00:00:00,12/30/2016,2016-12-30,-16.46,9.62,RGT,XRGTX
159,8.18,2017-01-06T00:00:00,1/6/2017,2017-01-06,-16.02,9.74,RGT,XRGTX
160,8.2,2017-01-13T00:00:00,1/13/2017,2017-01-13,-16.58,9.83,RGT,XRGTX
161,8.13,2017-01-20T00:00:00,1/20/2017,2017-01-20,-16.79,9.77,RGT,XRGTX
162,8.3,2017-01-27T00:00:00,1/27/2017,2017-01-27,-16.75,9.97,RGT,XRGTX
163,8.55,2017-02-03T00:00:00,2/3/2017,2017-02-03,-15.26,10.09,RGT,XRGTX
164,8.63,2017-02-10T00:00:00,2/10/2017,2017-02-10,-15.64,10.23,RGT,XRGTX
