,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,0.0434,6/28/2017,7/18/2017,0.0806,7/31/2017,,0.124,RNP
1,,0.0434,6/28/2017,8/15/2017,0.0806,8/31/2017,,0.124,RNP
2,,0.0434,6/28/2017,9/19/2017,0.0806,9/29/2017,,0.124,RNP
3,,0.0787,3/28/2017,4/18/2017,0.0453,4/28/2017,,0.124,RNP
4,,0.0434,3/28/2017,5/16/2017,0.0806,5/31/2017,,0.124,RNP
5,,0.0434,3/28/2017,6/20/2017,0.0806,6/30/2017,,0.124,RNP
6,,0.0859,12/21/2016,1/17/2017,0.0381,1/31/2017,,0.124,RNP
7,,0.0562,12/21/2016,2/14/2017,0.0678,2/28/2017,,0.124,RNP
8,,0.0113,12/21/2016,3/21/2017,0.1127,3/31/2017,,0.124,RNP
9,,0.04149,9/15/2016,10/18/2016,0.08251,10/31/2016,,0.124,RNP
10,,0.04149,9/15/2016,11/16/2016,0.08251,11/30/2016,,0.124,RNP
11,,0.0038,9/15/2016,12/9/2016,0.1202,12/30/2016,,0.124,RNP
12,,0.1238,9/8/2016,9/20/2016,0.2462,9/30/2016,,0.37,RNP
13,,0.1238,6/8/2016,6/20/2016,0.2462,6/30/2016,,0.37,RNP
14,,0.1594,3/8/2016,3/18/2016,0.2106,3/31/2016,,0.37,RNP
15,,,12/8/2015,12/17/2015,0.37,12/31/2015,,0.37,RNP
16,,,9/9/2015,9/18/2015,0.37,9/30/2015,,0.37,RNP
17,,,6/9/2015,6/18/2015,0.37,6/30/2015,,0.37,RNP
18,,0.1573,3/9/2015,3/18/2015,0.2127,3/31/2015,,0.37,RNP
19,,,12/9/2014,12/19/2014,0.33,12/31/2014,,0.33,RNP
20,,,9/8/2014,9/17/2014,0.33,9/30/2014,,0.33,RNP
21,,,6/11/2014,6/19/2014,0.33,6/30/2014,,0.33,RNP
