,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,12.31,2016-06-03T00:00:00,6/3/2016,2016-06-03,-12.76,14.11,SRV,XSRVX
1,12.3,2016-06-10T00:00:00,6/10/2016,2016-06-10,-11.89,13.96,SRV,XSRVX
2,11.79,2016-06-17T00:00:00,6/17/2016,2016-06-17,-14.0,13.71,SRV,XSRVX
3,11.96,2016-06-24T00:00:00,6/24/2016,2016-06-24,-13.52,13.83,SRV,XSRVX
4,12.34,2016-07-01T00:00:00,7/1/2016,2016-07-01,-14.01,14.35,SRV,XSRVX
5,12.09,2016-07-08T00:00:00,7/8/2016,2016-07-08,-14.86,14.2,SRV,XSRVX
6,12.36,2016-07-15T00:00:00,7/15/2016,2016-07-15,-15.17,14.57,SRV,XSRVX
7,12.65,2016-07-22T00:00:00,7/22/2016,2016-07-22,-13.3,14.59,SRV,XSRVX
8,12.42,2016-07-29T00:00:00,7/29/2016,2016-07-29,-13.09,14.29,SRV,XSRVX
9,12.54,2016-08-05T00:00:00,8/5/2016,2016-08-05,-13.1,14.43,SRV,XSRVX
10,12.72,2016-08-12T00:00:00,8/12/2016,2016-08-12,-13.59,14.72,SRV,XSRVX
11,12.94,2016-08-19T00:00:00,8/19/2016,2016-08-19,-13.5,14.96,SRV,XSRVX
12,12.84,2016-08-26T00:00:00,8/26/2016,2016-08-26,-12.47,14.67,SRV,XSRVX
13,13.11,2016-09-02T00:00:00,9/2/2016,2016-09-02,-11.72,14.85,SRV,XSRVX
14,13.37,2016-09-09T00:00:00,9/9/2016,2016-09-09,-10.03,14.86,SRV,XSRVX
15,12.4635,2016-09-16T00:00:00,9/16/2016,2016-09-16,-10.72,13.96,SRV,XSRVX
16,13.3,2016-09-23T00:00:00,9/23/2016,2016-09-23,-9.83,14.75,SRV,XSRVX
17,13.08,2016-09-30T00:00:00,9/30/2016,2016-09-30,-14.06,15.22,SRV,XSRVX
18,12.71,2016-10-07T00:00:00,10/7/2016,2016-10-07,-13.3,14.66,SRV,XSRVX
19,12.53,2016-10-14T00:00:00,10/14/2016,2016-10-14,-14.65,14.68,SRV,XSRVX
