,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,6/27/2017,7/12/2017,0.01,7/21/2017,,0.01,SWZ
1,,,12/5/2016,12/19/2016,0.12,12/29/2016,,0.12,SWZ
2,0.185,,6/23/2016,7/6/2016,,8/12/2016,,0.206,SWZ
3,0.405,,12/8/2015,12/18/2015,0.033,1/26/2016,,0.438,SWZ
4,0.205,,6/25/2015,7/1/2015,0.001,7/31/2015,,0.272,SWZ
5,2.195,,12/3/2014,12/15/2014,,1/23/2015,S,2.195,SWZ
6,,,6/4/2014,6/16/2014,0.04,7/24/2014,,0.04,SWZ
7,,,6/4/2014,6/16/2014,,7/24/2014,S,0.142,SWZ
8,,,12/3/2013,12/13/2013,0.033,1/24/2014,,0.033,SWZ
9,0.83315,,12/3/2013,12/13/2013,,1/24/2014,S,0.983,SWZ
10,0.037,,6/19/2013,7/1/2013,0.036,7/29/2013,,0.073,SWZ
11,,,12/11/2012,12/19/2012,0.053,12/28/2012,,0.053,SWZ
12,0.006,,6/21/2012,7/23/2012,0.01,8/29/2012,,0.016,SWZ
13,,,12/6/2011,12/16/2011,0.168,1/27/2012,,0.168,SWZ
14,1.074,,12/6/2011,12/16/2011,,1/27/2012,S,1.074,SWZ
15,0.727,,6/22/2011,7/21/2011,,8/29/2011,S,0.727,SWZ
16,,,6/22/2011,7/21/2011,0.11,8/29/2011,,0.11,SWZ
17,0.264,,12/9/2010,12/17/2010,,1/28/2011,S,0.264,SWZ
18,,,12/9/2010,12/17/2010,0.227,1/28/2011,,0.227,SWZ
19,,,12/1/2009,12/9/2009,0.211,12/29/2009,,0.211,SWZ
20,,,12/1/2009,12/9/2009,0.211,12/29/2009,,0.211,SWZ
21,,,6/10/2009,6/17/2009,0.007,7/9/2009,,0.007,SWZ
22,0.366,,6/10/2009,6/17/2009,,7/9/2009,S,0.366,SWZ
23,,,12/4/2008,12/10/2008,0.042,12/29/2008,,0.042,SWZ
24,0.023,,12/4/2008,12/10/2008,,12/29/2008,S,0.051,SWZ
25,,,5/22/2008,5/29/2008,,6/13/2008,S,0.189,SWZ
26,,,5/22/2008,5/29/2008,,6/13/2008,,0.042,SWZ
27,,,12/6/2007,12/13/2007,,1/29/2008,S,1.423,SWZ
28,,,5/8/2007,5/15/2007,,5/29/2007,S,0.527,SWZ
29,,,12/7/2006,12/14/2006,,1/29/2007,S,1.725,SWZ
30,,,6/8/2006,6/15/2006,,7/5/2006,S,0.227,SWZ
31,,,6/8/2006,6/15/2006,,7/5/2006,,0.028,SWZ
32,,,12/8/2005,12/15/2005,,1/31/2006,S,1.276,SWZ
33,,,5/26/2005,6/2/2005,,6/17/2005,S,0.258,SWZ
34,,,5/26/2005,6/2/2005,,6/17/2005,,0.072,SWZ
35,,,12/7/2004,12/15/2004,,1/21/2005,S,0.717,SWZ
36,,,5/20/2004,6/3/2004,,6/18/2004,S,0.109,SWZ
37,,,5/20/2004,6/3/2004,,6/18/2004,,0.108,SWZ
38,,,12/4/2003,12/11/2003,,12/29/2003,S,0.4576,SWZ
39,,,12/4/2003,12/11/2003,,12/29/2003,,0.1144,SWZ
40,,,5/22/2003,6/4/2003,,6/13/2003,S,0.135,SWZ
41,,,12/9/2002,12/17/2002,,1/14/2003,S,0.541,SWZ
