,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,5.5,1995-11-10T00:00:00,11/10/1995,1995-11-10,4.96,5.24,TKF,XTKFX
1,5.63,1995-11-17T00:00:00,11/17/1995,1995-11-17,7.85,5.22,TKF,XTKFX
2,5.38,1995-11-24T00:00:00,11/24/1995,1995-11-24,8.69,4.95,TKF,XTKFX
3,5.38,1995-12-01T00:00:00,12/1/1995,1995-12-01,15.45,4.66,TKF,XTKFX
4,5.63,1995-12-08T00:00:00,12/8/1995,1995-12-08,14.9,4.9,TKF,XTKFX
5,5.63,1995-12-15T00:00:00,12/15/1995,1995-12-15,18.03,4.77,TKF,XTKFX
6,5.5,1995-12-22T00:00:00,12/22/1995,1995-12-22,10.66,4.97,TKF,XTKFX
7,5.38,1995-12-29T00:00:00,12/29/1995,1995-12-29,17.47,4.58,TKF,XTKFX
8,5.75,1996-01-05T00:00:00,1/5/1996,1996-01-05,23.92,4.64,TKF,XTKFX
9,6.0,1996-01-12T00:00:00,1/12/1996,1996-01-12,17.19,5.12,TKF,XTKFX
10,6.38,1996-01-19T00:00:00,1/19/1996,1996-01-19,20.38,5.3,TKF,XTKFX
11,6.13,1996-01-26T00:00:00,1/26/1996,1996-01-26,19.26,5.14,TKF,XTKFX
12,6.13,1996-02-02T00:00:00,2/2/1996,1996-02-02,18.34,5.18,TKF,XTKFX
13,6.25,1996-02-09T00:00:00,2/9/1996,1996-02-09,22.55,5.1,TKF,XTKFX
14,6.0,1996-02-16T00:00:00,2/16/1996,1996-02-16,13.85,5.27,TKF,XTKFX
15,6.13,1996-02-23T00:00:00,2/23/1996,1996-02-23,16.98,5.24,TKF,XTKFX
16,6.63,1996-03-01T00:00:00,3/1/1996,1996-03-01,16.11,5.71,TKF,XTKFX
17,6.63,1996-03-08T00:00:00,3/8/1996,1996-03-08,13.92,5.82,TKF,XTKFX
18,6.63,1996-03-15T00:00:00,3/15/1996,1996-03-15,13.92,5.82,TKF,XTKFX
19,6.5,1996-03-22T00:00:00,3/22/1996,1996-03-22,11.68,5.82,TKF,XTKFX
20,6.25,1996-03-29T00:00:00,3/29/1996,1996-03-29,7.94,5.79,TKF,XTKFX
21,6.13,1996-04-12T00:00:00,4/12/1996,1996-04-12,6.61,5.75,TKF,XTKFX
22,6.0,1996-04-19T00:00:00,4/19/1996,1996-04-19,9.49,5.48,TKF,XTKFX
23,5.88,1996-05-03T00:00:00,5/3/1996,1996-05-03,4.07,5.65,TKF,XTKFX
24,6.5,1996-05-10T00:00:00,5/10/1996,1996-05-10,14.84,5.66,TKF,XTKFX
25,6.38,1996-05-17T00:00:00,5/17/1996,1996-05-17,13.32,5.63,TKF,XTKFX
26,6.63,1996-05-24T00:00:00,5/24/1996,1996-05-24,26.53,5.24,TKF,XTKFX
27,6.13,1996-05-31T00:00:00,5/31/1996,1996-05-31,14.58,5.35,TKF,XTKFX
28,6.13,1996-06-07T00:00:00,6/7/1996,1996-06-07,10.05,5.57,TKF,XTKFX
29,6.13,1996-06-14T00:00:00,6/14/1996,1996-06-14,8.3,5.66,TKF,XTKFX
30,6.0,1996-06-21T00:00:00,6/21/1996,1996-06-21,6.19,5.65,TKF,XTKFX
31,6.0,1996-06-28T00:00:00,6/28/1996,1996-06-28,2.92,5.83,TKF,XTKFX
32,6.0,1996-07-05T00:00:00,7/5/1996,1996-07-05,2.21,5.87,TKF,XTKFX
33,5.75,1996-07-12T00:00:00,7/12/1996,1996-07-12,-2.38,5.89,TKF,XTKFX
34,5.38,1996-07-19T00:00:00,7/19/1996,1996-07-19,-1.28,5.45,TKF,XTKFX
35,5.0,1996-07-26T00:00:00,7/26/1996,1996-07-26,-4.4,5.23,TKF,XTKFX
36,5.38,1996-08-02T00:00:00,8/2/1996,1996-08-02,2.48,5.25,TKF,XTKFX
37,5.25,1996-08-09T00:00:00,8/9/1996,1996-08-09,1.74,5.16,TKF,XTKFX
38,5.13,1996-08-16T00:00:00,8/16/1996,1996-08-16,3.43,4.96,TKF,XTKFX
39,5.13,1996-08-23T00:00:00,8/23/1996,1996-08-23,2.19,5.02,TKF,XTKFX
40,4.88,1996-09-06T00:00:00,9/6/1996,1996-09-06,-1.41,4.95,TKF,XTKFX
41,5.0,1996-09-13T00:00:00,9/13/1996,1996-09-13,0.0,5.0,TKF,XTKFX
42,5.38,1996-09-20T00:00:00,9/20/1996,1996-09-20,4.26,5.16,TKF,XTKFX
43,5.25,1996-09-27T00:00:00,9/27/1996,1996-09-27,1.35,5.18,TKF,XTKFX
44,5.13,1996-10-04T00:00:00,10/4/1996,1996-10-04,-2.84,5.28,TKF,XTKFX
45,5.13,1996-10-11T00:00:00,10/11/1996,1996-10-11,-2.66,5.27,TKF,XTKFX
46,5.13,1996-10-18T00:00:00,10/18/1996,1996-10-18,-8.06,5.58,TKF,XTKFX
47,5.25,1996-10-25T00:00:00,10/25/1996,1996-10-25,-7.57,5.68,TKF,XTKFX
48,5.38,1996-11-01T00:00:00,11/1/1996,1996-11-01,-3.06,5.55,TKF,XTKFX
49,5.25,1996-11-08T00:00:00,11/8/1996,1996-11-08,-4.89,5.52,TKF,XTKFX
50,5.25,1996-11-15T00:00:00,11/15/1996,1996-11-15,-1.32,5.32,TKF,XTKFX
51,5.13,1996-11-22T00:00:00,11/22/1996,1996-11-22,-5.18,5.41,TKF,XTKFX
52,5.25,1996-11-29T00:00:00,11/29/1996,1996-11-29,-5.06,5.53,TKF,XTKFX
53,5.0,1996-12-06T00:00:00,12/6/1996,1996-12-06,-10.07,5.56,TKF,XTKFX
54,5.25,1996-12-13T00:00:00,12/13/1996,1996-12-13,0.19,5.24,TKF,XTKFX
55,5.13,1996-12-20T00:00:00,12/20/1996,1996-12-20,-1.35,5.2,TKF,XTKFX
56,5.13,1996-12-27T00:00:00,12/27/1996,1996-12-27,-2.47,5.26,TKF,XTKFX
57,5.5,1997-01-03T00:00:00,1/3/1997,1997-01-03,-0.9,5.55,TKF,XTKFX
58,5.63,1997-01-10T00:00:00,1/10/1997,1997-01-10,-5.85,5.98,TKF,XTKFX
