,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,15.0,1998-11-20T00:00:00,11/20/1998,1998-11-20,0.0,15.0,TLI,XTLIX
1,15.0,1998-12-04T00:00:00,12/4/1998,1998-12-04,-0.27,15.04,TLI,XTLIX
2,15.0,1998-12-11T00:00:00,12/11/1998,1998-12-11,-0.33,15.05,TLI,XTLIX
3,15.0,1998-12-18T00:00:00,12/18/1998,1998-12-18,-0.46,15.07,TLI,XTLIX
4,14.88,1999-01-08T00:00:00,1/8/1999,1999-01-08,-1.13,15.05,TLI,XTLIX
5,14.88,1999-01-15T00:00:00,1/15/1999,1999-01-15,-1.26,15.07,TLI,XTLIX
6,14.94,1999-01-22T00:00:00,1/22/1999,1999-01-22,-0.99,15.09,TLI,XTLIX
7,14.75,1999-01-29T00:00:00,1/29/1999,1999-01-29,-2.38,15.11,TLI,XTLIX
8,14.56,1999-02-05T00:00:00,2/5/1999,1999-02-05,-3.7,15.12,TLI,XTLIX
9,13.81,1999-02-12T00:00:00,2/12/1999,1999-02-12,-8.97,15.17,TLI,XTLIX
10,14.44,1999-02-19T00:00:00,2/19/1999,1999-02-19,-4.31,15.09,TLI,XTLIX
11,14.0,1999-02-26T00:00:00,2/26/1999,1999-02-26,-7.41,15.12,TLI,XTLIX
12,14.06,1999-03-05T00:00:00,3/5/1999,1999-03-05,-7.19,15.15,TLI,XTLIX
13,13.94,1999-03-12T00:00:00,3/12/1999,1999-03-12,-8.11,15.17,TLI,XTLIX
14,13.75,1999-03-19T00:00:00,3/19/1999,1999-03-19,-9.06,15.12,TLI,XTLIX
15,13.88,1999-03-26T00:00:00,3/26/1999,1999-03-26,-8.38,15.15,TLI,XTLIX
16,14.0,1999-04-09T00:00:00,4/9/1999,1999-04-09,-7.83,15.19,TLI,XTLIX
17,13.88,1999-04-16T00:00:00,4/16/1999,1999-04-16,-8.92,15.24,TLI,XTLIX
18,13.88,1999-04-23T00:00:00,4/23/1999,1999-04-23,-8.44,15.16,TLI,XTLIX
19,13.94,1999-04-30T00:00:00,4/30/1999,1999-04-30,-8.23,15.19,TLI,XTLIX
20,14.0,1999-05-07T00:00:00,5/7/1999,1999-05-07,-7.96,15.21,TLI,XTLIX
21,13.94,1999-05-14T00:00:00,5/14/1999,1999-05-14,-8.53,15.24,TLI,XTLIX
22,14.06,1999-05-21T00:00:00,5/21/1999,1999-05-21,-7.32,15.17,TLI,XTLIX
23,14.0,1999-05-28T00:00:00,5/28/1999,1999-05-28,-7.89,15.2,TLI,XTLIX
24,14.13,1999-06-04T00:00:00,6/4/1999,1999-06-04,-7.22,15.23,TLI,XTLIX
25,14.25,1999-06-11T00:00:00,6/11/1999,1999-06-11,-6.56,15.25,TLI,XTLIX
26,14.25,1999-06-18T00:00:00,6/18/1999,1999-06-18,-6.68,15.27,TLI,XTLIX
27,14.0,1999-06-25T00:00:00,6/25/1999,1999-06-25,-7.83,15.19,TLI,XTLIX
28,14.0,1999-07-02T00:00:00,7/2/1999,1999-07-02,-8.02,15.22,TLI,XTLIX
29,14.19,1999-07-09T00:00:00,7/9/1999,1999-07-09,-6.89,15.24,TLI,XTLIX
30,14.13,1999-07-16T00:00:00,7/16/1999,1999-07-16,-7.47,15.27,TLI,XTLIX
31,14.06,1999-07-23T00:00:00,7/23/1999,1999-07-23,-7.5,15.2,TLI,XTLIX
32,14.25,1999-07-30T00:00:00,7/30/1999,1999-07-30,-6.37,15.22,TLI,XTLIX
33,14.25,1999-08-06T00:00:00,8/6/1999,1999-08-06,-6.43,15.23,TLI,XTLIX
34,14.19,1999-08-13T00:00:00,8/13/1999,1999-08-13,-6.89,15.24,TLI,XTLIX
35,14.19,1999-08-20T00:00:00,8/20/1999,1999-08-20,-6.52,15.18,TLI,XTLIX
36,14.13,1999-08-27T00:00:00,8/27/1999,1999-08-27,-6.98,15.19,TLI,XTLIX
37,14.19,1999-09-03T00:00:00,9/3/1999,1999-09-03,-6.71,15.21,TLI,XTLIX
38,14.25,1999-09-10T00:00:00,9/10/1999,1999-09-10,-6.43,15.23,TLI,XTLIX
39,14.31,1999-09-17T00:00:00,9/17/1999,1999-09-17,-6.1,15.24,TLI,XTLIX
40,14.31,1999-09-24T00:00:00,9/24/1999,1999-09-24,-5.67,15.17,TLI,XTLIX
41,14.44,1999-10-01T00:00:00,10/1/1999,1999-10-01,-4.94,15.19,TLI,XTLIX
42,14.31,1999-10-08T00:00:00,10/8/1999,1999-10-08,-5.92,15.21,TLI,XTLIX
43,14.31,1999-10-15T00:00:00,10/15/1999,1999-10-15,-6.04,15.23,TLI,XTLIX
44,14.13,1999-10-22T00:00:00,10/22/1999,1999-10-22,-6.73,15.15,TLI,XTLIX
45,14.25,1999-10-29T00:00:00,10/29/1999,1999-10-29,-6.0,15.16,TLI,XTLIX
46,14.38,1999-11-05T00:00:00,11/5/1999,1999-11-05,-5.33,15.19,TLI,XTLIX
47,14.31,1999-11-12T00:00:00,11/12/1999,1999-11-12,-5.98,15.22,TLI,XTLIX
48,14.19,1999-11-19T00:00:00,11/19/1999,1999-11-19,-7.01,15.26,TLI,XTLIX
49,14.13,1999-11-26T00:00:00,11/26/1999,1999-11-26,-7.1,15.21,TLI,XTLIX
50,14.19,1999-12-03T00:00:00,12/3/1999,1999-12-03,-6.89,15.24,TLI,XTLIX
51,14.06,1999-12-10T00:00:00,12/10/1999,1999-12-10,-7.92,15.27,TLI,XTLIX
52,14.06,1999-12-17T00:00:00,12/17/1999,1999-12-17,-8.1,15.3,TLI,XTLIX
53,14.06,1999-12-31T00:00:00,12/31/1999,1999-12-31,-6.95,15.11,TLI,XTLIX
54,14.06,2000-01-07T00:00:00,1/7/2000,2000-01-07,-7.13,15.14,TLI,XTLIX
55,13.94,2000-01-14T00:00:00,1/14/2000,2000-01-14,-7.93,15.14,TLI,XTLIX
56,13.75,2000-01-21T00:00:00,1/21/2000,2000-01-21,-8.82,15.08,TLI,XTLIX
57,14.06,2000-01-28T00:00:00,1/28/2000,2000-01-28,-6.95,15.11,TLI,XTLIX
58,14.0,2000-02-04T00:00:00,2/4/2000,2000-02-04,-7.59,15.15,TLI,XTLIX
59,14.06,2000-02-11T00:00:00,2/11/2000,2000-02-11,-7.38,15.18,TLI,XTLIX
60,14.0,2000-02-18T00:00:00,2/18/2000,2000-02-18,-7.41,15.12,TLI,XTLIX
61,14.06,2000-02-25T00:00:00,2/25/2000,2000-02-25,-7.13,15.14,TLI,XTLIX
62,14.06,2000-03-03T00:00:00,3/3/2000,2000-03-03,-7.38,15.18,TLI,XTLIX
63,14.0,2000-03-10T00:00:00,3/10/2000,2000-03-10,-7.96,15.21,TLI,XTLIX
64,13.63,2000-03-17T00:00:00,3/17/2000,2000-03-17,-10.51,15.23,TLI,XTLIX
65,13.63,2000-03-24T00:00:00,3/24/2000,2000-03-24,-10.03,15.15,TLI,XTLIX
66,13.63,2000-03-31T00:00:00,3/31/2000,2000-03-31,-9.97,15.14,TLI,XTLIX
67,13.06,2000-04-07T00:00:00,4/7/2000,2000-04-07,-13.85,15.16,TLI,XTLIX
68,13.38,2000-04-14T00:00:00,4/14/2000,2000-04-14,-11.8,15.17,TLI,XTLIX
69,13.88,2000-04-21T00:00:00,4/21/2000,2000-04-21,-7.9,15.07,TLI,XTLIX
70,13.81,2000-04-28T00:00:00,4/28/2000,2000-04-28,-8.48,15.09,TLI,XTLIX
71,13.75,2000-05-05T00:00:00,5/5/2000,2000-05-05,-9.12,15.13,TLI,XTLIX
72,13.75,2000-05-12T00:00:00,5/12/2000,2000-05-12,-9.24,15.15,TLI,XTLIX
73,13.94,2000-05-19T00:00:00,5/19/2000,2000-05-19,-7.5,15.07,TLI,XTLIX
74,13.88,2000-05-26T00:00:00,5/26/2000,2000-05-26,-8.08,15.1,TLI,XTLIX
75,13.88,2000-06-02T00:00:00,6/2/2000,2000-06-02,-8.26,15.13,TLI,XTLIX
76,14.0,2000-06-09T00:00:00,6/9/2000,2000-06-09,-7.65,15.16,TLI,XTLIX
77,13.88,2000-06-16T00:00:00,6/16/2000,2000-06-16,-8.56,15.18,TLI,XTLIX
78,13.81,2000-06-23T00:00:00,6/23/2000,2000-06-23,-8.54,15.1,TLI,XTLIX
79,13.81,2000-06-30T00:00:00,6/30/2000,2000-06-30,-8.78,15.14,TLI,XTLIX
80,13.88,2000-07-07T00:00:00,7/7/2000,2000-07-07,-8.5,15.17,TLI,XTLIX
81,13.88,2000-07-14T00:00:00,7/14/2000,2000-07-14,-8.68,15.2,TLI,XTLIX
82,13.88,2000-07-21T00:00:00,7/21/2000,2000-07-21,-8.2,15.12,TLI,XTLIX
83,13.94,2000-07-28T00:00:00,7/28/2000,2000-07-28,-7.99,15.15,TLI,XTLIX
84,14.44,2000-08-04T00:00:00,8/4/2000,2000-08-04,-4.87,15.18,TLI,XTLIX
85,14.5,2000-08-11T00:00:00,8/11/2000,2000-08-11,-4.73,15.22,TLI,XTLIX
86,14.5,2000-08-18T00:00:00,8/18/2000,2000-08-18,-4.1,15.12,TLI,XTLIX
87,14.5,2000-08-25T00:00:00,8/25/2000,2000-08-25,-4.29,15.15,TLI,XTLIX
88,14.94,2000-09-01T00:00:00,9/1/2000,2000-09-01,-1.58,15.18,TLI,XTLIX
89,14.94,2000-09-08T00:00:00,9/8/2000,2000-09-08,-1.78,15.21,TLI,XTLIX
90,14.94,2000-09-15T00:00:00,9/15/2000,2000-09-15,-2.03,15.25,TLI,XTLIX
91,14.69,2000-09-22T00:00:00,9/22/2000,2000-09-22,-3.1,15.16,TLI,XTLIX
92,14.69,2000-09-29T00:00:00,9/29/2000,2000-09-29,-2.97,15.14,TLI,XTLIX
93,14.88,2000-10-06T00:00:00,10/6/2000,2000-10-06,-1.65,15.13,TLI,XTLIX
94,14.75,2000-10-13T00:00:00,10/13/2000,2000-10-13,-2.51,15.13,TLI,XTLIX
95,14.38,2000-10-20T00:00:00,10/20/2000,2000-10-20,-4.26,15.02,TLI,XTLIX
96,14.56,2000-10-27T00:00:00,10/27/2000,2000-10-27,-2.87,14.99,TLI,XTLIX
97,14.5,2000-11-03T00:00:00,11/3/2000,2000-11-03,-3.4,15.01,TLI,XTLIX
98,14.06,2000-11-17T00:00:00,11/17/2000,2000-11-17,-5.38,14.86,TLI,XTLIX
99,13.94,2000-11-24T00:00:00,11/24/2000,2000-11-24,-6.38,14.89,TLI,XTLIX
100,13.94,2000-12-01T00:00:00,12/1/2000,2000-12-01,-6.57,14.92,TLI,XTLIX
101,13.94,2000-12-08T00:00:00,12/8/2000,2000-12-08,-6.57,14.92,TLI,XTLIX
102,13.81,2000-12-15T00:00:00,12/15/2000,2000-12-15,-6.88,14.83,TLI,XTLIX
103,13.56,2000-12-22T00:00:00,12/22/2000,2000-12-22,-7.88,14.72,TLI,XTLIX
104,13.75,2000-12-29T00:00:00,12/29/2000,2000-12-29,-6.53,14.71,TLI,XTLIX
105,13.69,2001-01-05T00:00:00,1/5/2001,2001-01-05,-7.12,14.74,TLI,XTLIX
106,13.88,2001-01-12T00:00:00,1/12/2001,2001-01-12,-5.71,14.72,TLI,XTLIX
107,14.0,2001-01-19T00:00:00,1/19/2001,2001-01-19,-4.44,14.65,TLI,XTLIX
108,14.31,2001-01-26T00:00:00,1/26/2001,2001-01-26,-2.39,14.66,TLI,XTLIX
