,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,10.38,1995-09-29T00:00:00,9/29/1995,1995-09-29,-6.15,11.06,USA,XUSAX
1,10.5,1995-11-10T00:00:00,11/10/1995,1995-11-10,-6.08,11.18,USA,XUSAX
2,10.88,1995-11-17T00:00:00,11/17/1995,1995-11-17,-2.6,11.17,USA,XUSAX
3,10.75,1995-12-01T00:00:00,12/1/1995,1995-12-01,-2.36,11.01,USA,XUSAX
4,10.63,1995-12-08T00:00:00,12/8/1995,1995-12-08,-4.49,11.13,USA,XUSAX
5,10.38,1995-12-15T00:00:00,12/15/1995,1995-12-15,-5.12,10.94,USA,XUSAX
6,10.75,1995-12-22T00:00:00,12/22/1995,1995-12-22,-1.65,10.93,USA,XUSAX
7,10.88,1995-12-29T00:00:00,12/29/1995,1995-12-29,-1.45,11.04,USA,XUSAX
8,10.88,1996-01-05T00:00:00,1/5/1996,1996-01-05,-0.55,10.94,USA,XUSAX
9,10.75,1996-01-19T00:00:00,1/19/1996,1996-01-19,-1.38,10.9,USA,XUSAX
10,10.75,1996-01-26T00:00:00,1/26/1996,1996-01-26,-3.24,11.11,USA,XUSAX
11,11.13,1996-02-09T00:00:00,2/9/1996,1996-02-09,-4.87,11.7,USA,XUSAX
12,11.25,1996-02-16T00:00:00,2/16/1996,1996-02-16,-3.35,11.64,USA,XUSAX
13,11.13,1996-02-23T00:00:00,2/23/1996,1996-02-23,-6.23,11.87,USA,XUSAX
14,11.13,1996-03-01T00:00:00,3/1/1996,1996-03-01,-4.05,11.6,USA,XUSAX
15,10.88,1996-03-08T00:00:00,3/8/1996,1996-03-08,-2.6,11.17,USA,XUSAX
16,11.0,1996-03-15T00:00:00,3/15/1996,1996-03-15,-3.42,11.39,USA,XUSAX
17,11.13,1996-03-22T00:00:00,3/22/1996,1996-03-22,-3.3,11.51,USA,XUSAX
18,11.38,1996-03-29T00:00:00,3/29/1996,1996-03-29,-0.26,11.41,USA,XUSAX
19,11.25,1996-04-12T00:00:00,4/12/1996,1996-04-12,0.36,11.21,USA,XUSAX
20,11.13,1996-04-19T00:00:00,4/19/1996,1996-04-19,-2.45,11.41,USA,XUSAX
21,11.0,1996-04-26T00:00:00,4/26/1996,1996-04-26,-5.42,11.63,USA,XUSAX
22,11.0,1996-05-03T00:00:00,5/3/1996,1996-05-03,-4.1,11.47,USA,XUSAX
23,11.06,1996-05-10T00:00:00,5/10/1996,1996-05-10,-4.9,11.63,USA,XUSAX
24,11.25,1996-05-17T00:00:00,5/17/1996,1996-05-17,-5.54,11.91,USA,XUSAX
25,11.13,1996-05-24T00:00:00,5/24/1996,1996-05-24,-7.56,12.04,USA,XUSAX
26,10.88,1996-05-31T00:00:00,5/31/1996,1996-05-31,-6.37,11.62,USA,XUSAX
27,10.88,1996-06-07T00:00:00,6/7/1996,1996-06-07,-6.85,11.68,USA,XUSAX
28,10.88,1996-06-14T00:00:00,6/14/1996,1996-06-14,-5.23,11.48,USA,XUSAX
29,10.75,1996-06-21T00:00:00,6/21/1996,1996-06-21,-6.6,11.51,USA,XUSAX
30,10.75,1996-06-28T00:00:00,6/28/1996,1996-06-28,-6.93,11.55,USA,XUSAX
31,10.75,1996-07-05T00:00:00,7/5/1996,1996-07-05,-4.7,11.28,USA,XUSAX
32,10.25,1996-07-12T00:00:00,7/12/1996,1996-07-12,-6.82,11.0,USA,XUSAX
33,10.13,1996-07-19T00:00:00,7/19/1996,1996-07-19,-6.81,10.87,USA,XUSAX
34,10.0,1996-07-26T00:00:00,7/26/1996,1996-07-26,-7.32,10.79,USA,XUSAX
35,10.25,1996-08-02T00:00:00,8/2/1996,1996-08-02,-9.21,11.29,USA,XUSAX
36,10.38,1996-08-09T00:00:00,8/9/1996,1996-08-09,-8.63,11.36,USA,XUSAX
37,10.88,1996-08-16T00:00:00,8/16/1996,1996-08-16,-4.73,11.42,USA,XUSAX
38,10.88,1996-08-23T00:00:00,8/23/1996,1996-08-23,-5.14,11.47,USA,XUSAX
39,10.75,1996-08-30T00:00:00,8/30/1996,1996-08-30,-2.09,10.98,USA,XUSAX
40,10.75,1996-09-06T00:00:00,9/6/1996,1996-09-06,-2.54,11.03,USA,XUSAX
41,11.0,1996-09-13T00:00:00,9/13/1996,1996-09-13,-4.1,11.47,USA,XUSAX
42,10.88,1996-09-20T00:00:00,9/20/1996,1996-09-20,-6.37,11.62,USA,XUSAX
43,10.88,1996-09-27T00:00:00,9/27/1996,1996-09-27,-6.85,11.68,USA,XUSAX
44,11.13,1996-10-04T00:00:00,10/4/1996,1996-10-04,-6.86,11.95,USA,XUSAX
45,11.0,1996-10-11T00:00:00,10/11/1996,1996-10-11,-7.64,11.91,USA,XUSAX
46,11.25,1996-10-18T00:00:00,10/18/1996,1996-10-18,-6.17,11.99,USA,XUSAX
47,11.13,1996-10-25T00:00:00,10/25/1996,1996-10-25,-5.92,11.83,USA,XUSAX
48,11.13,1996-11-01T00:00:00,11/1/1996,1996-11-01,-6.31,11.88,USA,XUSAX
49,11.5,1996-11-08T00:00:00,11/8/1996,1996-11-08,-6.35,12.28,USA,XUSAX
50,11.5,1996-11-15T00:00:00,11/15/1996,1996-11-15,-7.48,12.43,USA,XUSAX
51,11.25,1996-11-22T00:00:00,11/22/1996,1996-11-22,-8.16,12.25,USA,XUSAX
52,11.25,1996-11-29T00:00:00,11/29/1996,1996-11-29,-8.91,12.35,USA,XUSAX
53,11.13,1996-12-06T00:00:00,12/6/1996,1996-12-06,-7.79,12.07,USA,XUSAX
54,11.0,1996-12-13T00:00:00,12/13/1996,1996-12-13,-7.49,11.89,USA,XUSAX
55,11.38,1996-12-20T00:00:00,12/20/1996,1996-12-20,-6.64,12.19,USA,XUSAX
56,11.25,1996-12-27T00:00:00,12/27/1996,1996-12-27,-8.24,12.26,USA,XUSAX
57,11.25,1997-01-03T00:00:00,1/3/1997,1997-01-03,-6.56,12.04,USA,XUSAX
58,11.38,1997-01-10T00:00:00,1/10/1997,1997-01-10,-1.47,11.55,USA,XUSAX
59,11.5,1997-01-17T00:00:00,1/17/1997,1997-01-17,-7.85,12.48,USA,XUSAX
60,11.5,1997-01-24T00:00:00,1/24/1997,1997-01-24,-7.85,12.48,USA,XUSAX
61,11.63,1997-01-31T00:00:00,1/31/1997,1997-01-31,-8.06,12.65,USA,XUSAX
62,11.88,1997-02-07T00:00:00,2/7/1997,1997-02-07,-6.24,12.67,USA,XUSAX
63,11.88,1997-02-14T00:00:00,2/14/1997,1997-02-14,-8.19,12.94,USA,XUSAX
64,11.88,1997-02-21T00:00:00,2/21/1997,1997-02-21,-6.97,12.77,USA,XUSAX
65,11.88,1997-02-28T00:00:00,2/28/1997,1997-02-28,-5.34,12.55,USA,XUSAX
66,11.5,1997-03-07T00:00:00,3/7/1997,1997-03-07,-7.93,12.49,USA,XUSAX
67,11.75,1997-03-14T00:00:00,3/14/1997,1997-03-14,-4.86,12.35,USA,XUSAX
68,13.38,1997-07-11T00:00:00,7/11/1997,1997-07-11,-3.39,13.85,USA,XUSAX
69,13.38,1997-07-18T00:00:00,7/18/1997,1997-07-18,-2.9,13.78,USA,XUSAX
70,13.44,1997-07-25T00:00:00,7/25/1997,1997-07-25,-4.21,14.03,USA,XUSAX
71,13.56,1997-08-01T00:00:00,8/1/1997,1997-08-01,-4.64,14.22,USA,XUSAX
72,13.81,1997-08-08T00:00:00,8/8/1997,1997-08-08,-1.99,14.09,USA,XUSAX
73,13.69,1997-08-15T00:00:00,8/15/1997,1997-08-15,-0.07,13.7,USA,XUSAX
74,13.44,1997-08-22T00:00:00,8/22/1997,1997-08-22,-1.32,13.62,USA,XUSAX
75,13.31,1997-08-29T00:00:00,8/29/1997,1997-08-29,-0.22,13.34,USA,XUSAX
76,13.31,1997-09-05T00:00:00,9/5/1997,1997-09-05,-3.55,13.8,USA,XUSAX
77,13.31,1997-09-12T00:00:00,9/12/1997,1997-09-12,-3.41,13.78,USA,XUSAX
78,13.81,1997-09-19T00:00:00,9/19/1997,1997-09-19,-1.92,14.08,USA,XUSAX
79,14.13,1997-09-26T00:00:00,9/26/1997,1997-09-26,1.29,13.95,USA,XUSAX
80,14.5,1997-10-03T00:00:00,10/3/1997,1997-10-03,1.83,14.24,USA,XUSAX
81,14.06,1997-10-10T00:00:00,10/10/1997,1997-10-10,-1.88,14.33,USA,XUSAX
82,13.81,1997-10-17T00:00:00,10/17/1997,1997-10-17,-1.71,14.05,USA,XUSAX
83,13.38,1997-10-24T00:00:00,10/24/1997,1997-10-24,-4.43,14.0,USA,XUSAX
84,13.0,1997-10-31T00:00:00,10/31/1997,1997-10-31,-3.77,13.51,USA,XUSAX
