,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,20.0,1994-01-07T00:00:00,1/7/1994,1994-01-07,-6.67,21.43,VBF,XVBFX
1,20.25,1994-01-14T00:00:00,1/14/1994,1994-01-14,-5.55,21.44,VBF,XVBFX
2,20.0,1994-01-21T00:00:00,1/21/1994,1994-01-21,-6.98,21.5,VBF,XVBFX
3,20.13,1994-01-28T00:00:00,1/28/1994,1994-01-28,-7.02,21.65,VBF,XVBFX
4,19.75,1994-02-04T00:00:00,2/4/1994,1994-02-04,-8.14,21.5,VBF,XVBFX
5,19.5,1994-02-11T00:00:00,2/11/1994,1994-02-11,-9.09,21.45,VBF,XVBFX
6,19.25,1994-02-18T00:00:00,2/18/1994,1994-02-18,-9.41,21.25,VBF,XVBFX
7,18.75,1994-02-25T00:00:00,2/25/1994,1994-02-25,-10.97,21.06,VBF,XVBFX
8,19.25,1994-03-04T00:00:00,3/4/1994,1994-03-04,-7.81,20.88,VBF,XVBFX
9,19.13,1994-03-11T00:00:00,3/11/1994,1994-03-11,-6.27,20.41,VBF,XVBFX
10,19.0,1994-03-18T00:00:00,3/18/1994,1994-03-18,-6.95,20.42,VBF,XVBFX
11,18.88,1994-03-25T00:00:00,3/25/1994,1994-03-25,-6.95,20.29,VBF,XVBFX
12,18.0,1994-04-01T00:00:00,4/1/1994,1994-04-01,-10.54,20.12,VBF,XVBFX
13,18.13,1994-04-08T00:00:00,4/8/1994,1994-04-08,-8.57,19.83,VBF,XVBFX
14,18.13,1994-04-15T00:00:00,4/15/1994,1994-04-15,-8.48,19.81,VBF,XVBFX
15,18.25,1994-04-22T00:00:00,4/22/1994,1994-04-22,-8.34,19.91,VBF,XVBFX
16,18.38,1994-04-29T00:00:00,4/29/1994,1994-04-29,-7.08,19.78,VBF,XVBFX
17,18.0,1994-05-06T00:00:00,5/6/1994,1994-05-06,-7.55,19.47,VBF,XVBFX
18,17.75,1994-05-13T00:00:00,5/13/1994,1994-05-13,-8.88,19.48,VBF,XVBFX
19,18.0,1994-05-20T00:00:00,5/20/1994,1994-05-20,-8.54,19.68,VBF,XVBFX
20,17.88,1994-05-27T00:00:00,5/27/1994,1994-05-27,-8.54,19.55,VBF,XVBFX
21,18.25,1994-06-03T00:00:00,6/3/1994,1994-06-03,-7.45,19.72,VBF,XVBFX
22,18.25,1994-06-10T00:00:00,6/10/1994,1994-06-10,-5.93,19.4,VBF,XVBFX
23,17.88,1994-06-17T00:00:00,6/17/1994,1994-06-17,-7.26,19.28,VBF,XVBFX
24,17.75,1994-06-24T00:00:00,6/24/1994,1994-06-24,-7.26,19.14,VBF,XVBFX
25,18.5,1994-07-01T00:00:00,7/1/1994,1994-07-01,-2.84,19.04,VBF,XVBFX
26,17.75,1994-07-08T00:00:00,7/8/1994,1994-07-08,-6.43,18.97,VBF,XVBFX
27,18.0,1994-07-15T00:00:00,7/15/1994,1994-07-15,-6.4,19.23,VBF,XVBFX
28,17.63,1994-07-22T00:00:00,7/22/1994,1994-07-22,-8.51,19.27,VBF,XVBFX
29,17.5,1994-07-29T00:00:00,7/29/1994,1994-07-29,-10.58,19.57,VBF,XVBFX
30,17.63,1994-08-05T00:00:00,8/5/1994,1994-08-05,-9.17,19.41,VBF,XVBFX
31,17.75,1994-08-12T00:00:00,8/12/1994,1994-08-12,-8.79,19.46,VBF,XVBFX
32,17.75,1994-08-19T00:00:00,8/19/1994,1994-08-19,-8.69,19.44,VBF,XVBFX
33,17.75,1994-08-26T00:00:00,8/26/1994,1994-08-26,-9.11,19.53,VBF,XVBFX
34,18.0,1994-09-02T00:00:00,9/2/1994,1994-09-02,-6.15,19.18,VBF,XVBFX
35,17.75,1994-09-09T00:00:00,9/9/1994,1994-09-09,-6.13,18.91,VBF,XVBFX
36,17.5,1994-09-16T00:00:00,9/16/1994,1994-09-16,-7.06,18.83,VBF,XVBFX
37,17.0,1994-09-23T00:00:00,9/23/1994,1994-09-23,-9.57,18.8,VBF,XVBFX
38,17.13,1994-09-30T00:00:00,9/30/1994,1994-09-30,-8.83,18.79,VBF,XVBFX
39,17.13,1994-10-07T00:00:00,10/7/1994,1994-10-07,-8.4,18.7,VBF,XVBFX
40,17.13,1994-10-14T00:00:00,10/14/1994,1994-10-14,-8.88,18.8,VBF,XVBFX
41,17.0,1994-10-21T00:00:00,10/21/1994,1994-10-21,-8.8,18.64,VBF,XVBFX
42,17.25,1994-10-28T00:00:00,10/28/1994,1994-10-28,-7.66,18.68,VBF,XVBFX
43,16.88,1994-11-04T00:00:00,11/4/1994,1994-11-04,-8.66,18.48,VBF,XVBFX
44,16.88,1994-11-18T00:00:00,11/18/1994,1994-11-18,-8.66,18.48,VBF,XVBFX
45,17.38,1994-11-25T00:00:00,11/25/1994,1994-11-25,-7.06,18.7,VBF,XVBFX
46,17.13,1994-12-02T00:00:00,12/2/1994,1994-12-02,-8.74,18.77,VBF,XVBFX
47,17.0,1994-12-09T00:00:00,12/9/1994,1994-12-09,-8.01,18.48,VBF,XVBFX
48,16.88,1994-12-16T00:00:00,12/16/1994,1994-12-16,-8.81,18.51,VBF,XVBFX
49,17.0,1994-12-23T00:00:00,12/23/1994,1994-12-23,-8.41,18.56,VBF,XVBFX
50,16.75,1994-12-30T00:00:00,12/30/1994,1994-12-30,-9.9,18.59,VBF,XVBFX
51,17.25,1995-01-06T00:00:00,1/6/1995,1995-01-06,-7.26,18.6,VBF,XVBFX
52,17.38,1995-01-13T00:00:00,1/13/1995,1995-01-13,-7.41,18.77,VBF,XVBFX
53,17.38,1995-01-20T00:00:00,1/20/1995,1995-01-20,-7.11,18.71,VBF,XVBFX
54,17.38,1995-01-27T00:00:00,1/27/1995,1995-01-27,-8.19,18.93,VBF,XVBFX
55,17.63,1995-02-03T00:00:00,2/3/1995,1995-02-03,-7.84,19.13,VBF,XVBFX
56,17.88,1995-02-10T00:00:00,2/10/1995,1995-02-10,-6.09,19.04,VBF,XVBFX
57,17.88,1995-02-17T00:00:00,2/17/1995,1995-02-17,-6.97,19.22,VBF,XVBFX
58,18.0,1995-02-24T00:00:00,2/24/1995,1995-02-24,-7.02,19.36,VBF,XVBFX
59,18.0,1995-03-03T00:00:00,3/3/1995,1995-03-03,-7.22,19.4,VBF,XVBFX
60,17.88,1995-03-10T00:00:00,3/10/1995,1995-03-10,-6.63,19.15,VBF,XVBFX
61,18.13,1995-03-17T00:00:00,3/17/1995,1995-03-17,-6.06,19.3,VBF,XVBFX
62,18.25,1995-03-24T00:00:00,3/24/1995,1995-03-24,-5.59,19.33,VBF,XVBFX
63,18.25,1995-03-31T00:00:00,3/31/1995,1995-03-31,-5.44,19.3,VBF,XVBFX
64,17.88,1995-04-07T00:00:00,4/7/1995,1995-04-07,-7.98,19.43,VBF,XVBFX
65,18.13,1995-04-14T00:00:00,4/14/1995,1995-04-14,-7.17,19.53,VBF,XVBFX
66,18.0,1995-04-21T00:00:00,4/21/1995,1995-04-21,-7.98,19.56,VBF,XVBFX
67,17.88,1995-04-28T00:00:00,4/28/1995,1995-04-28,-8.78,19.6,VBF,XVBFX
68,18.0,1995-05-05T00:00:00,5/5/1995,1995-05-05,-10.58,20.13,VBF,XVBFX
69,18.63,1995-05-12T00:00:00,5/12/1995,1995-05-12,-7.68,20.18,VBF,XVBFX
70,18.25,1995-05-19T00:00:00,5/19/1995,1995-05-19,-10.14,20.31,VBF,XVBFX
71,18.63,1995-05-26T00:00:00,5/26/1995,1995-05-26,-9.39,20.56,VBF,XVBFX
72,19.13,1995-06-02T00:00:00,6/2/1995,1995-06-02,-8.6,20.93,VBF,XVBFX
73,18.63,1995-06-09T00:00:00,6/9/1995,1995-06-09,-7.73,20.19,VBF,XVBFX
74,18.75,1995-06-16T00:00:00,6/16/1995,1995-06-16,-7.77,20.33,VBF,XVBFX
75,19.0,1995-06-23T00:00:00,6/23/1995,1995-06-23,-7.45,20.53,VBF,XVBFX
76,19.13,1995-06-30T00:00:00,6/30/1995,1995-06-30,-6.27,20.41,VBF,XVBFX
77,19.25,1995-07-07T00:00:00,7/7/1995,1995-07-07,-6.64,20.62,VBF,XVBFX
78,19.5,1995-07-14T00:00:00,7/14/1995,1995-07-14,-4.97,20.52,VBF,XVBFX
79,18.63,1995-07-21T00:00:00,7/21/1995,1995-07-21,-7.41,20.12,VBF,XVBFX
80,18.88,1995-07-28T00:00:00,7/28/1995,1995-07-28,-6.63,20.22,VBF,XVBFX
81,18.63,1995-08-04T00:00:00,8/4/1995,1995-08-04,-8.0,20.25,VBF,XVBFX
82,18.75,1995-08-11T00:00:00,8/11/1995,1995-08-11,-6.95,20.15,VBF,XVBFX
83,19.13,1995-08-18T00:00:00,8/18/1995,1995-08-18,-5.67,20.28,VBF,XVBFX
84,18.88,1995-08-25T00:00:00,8/25/1995,1995-08-25,-8.13,20.55,VBF,XVBFX
85,19.25,1995-09-01T00:00:00,9/1/1995,1995-09-01,-7.14,20.73,VBF,XVBFX
86,19.25,1995-09-08T00:00:00,9/8/1995,1995-09-08,-5.45,20.36,VBF,XVBFX
87,19.38,1995-09-15T00:00:00,9/15/1995,1995-09-15,-5.6,20.53,VBF,XVBFX
88,19.25,1995-09-22T00:00:00,9/22/1995,1995-09-22,-5.59,20.39,VBF,XVBFX
89,19.0,1995-09-29T00:00:00,9/29/1995,1995-09-29,-7.63,20.57,VBF,XVBFX
