,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,12.75,1994-08-12T00:00:00,8/12/1994,1994-08-12,-0.23,12.78,VCF,XVCFX
1,12.88,1994-08-19T00:00:00,8/19/1994,1994-08-19,0.08,12.87,VCF,XVCFX
2,12.63,1994-08-26T00:00:00,8/26/1994,1994-08-26,-2.4,12.94,VCF,XVCFX
3,11.13,1994-11-04T00:00:00,11/4/1994,1994-11-04,-2.11,11.37,VCF,XVCFX
4,11.13,1994-11-25T00:00:00,11/25/1994,1994-11-25,-0.18,11.15,VCF,XVCFX
5,10.38,1994-12-02T00:00:00,12/2/1994,1994-12-02,-11.05,11.67,VCF,XVCFX
6,10.63,1994-12-09T00:00:00,12/9/1994,1994-12-09,-9.53,11.75,VCF,XVCFX
7,10.88,1994-12-16T00:00:00,12/16/1994,1994-12-16,-7.8,11.8,VCF,XVCFX
8,11.0,1994-12-23T00:00:00,12/23/1994,1994-12-23,-7.09,11.84,VCF,XVCFX
9,11.0,1994-12-30T00:00:00,12/30/1994,1994-12-30,-7.8,11.93,VCF,XVCFX
10,11.75,1995-01-06T00:00:00,1/6/1995,1995-01-06,-2.25,12.02,VCF,XVCFX
11,11.88,1995-01-13T00:00:00,1/13/1995,1995-01-13,-3.18,12.27,VCF,XVCFX
12,11.63,1995-01-20T00:00:00,1/20/1995,1995-01-20,-5.52,12.31,VCF,XVCFX
13,12.0,1995-01-27T00:00:00,1/27/1995,1995-01-27,-3.92,12.49,VCF,XVCFX
14,12.13,1995-02-03T00:00:00,2/3/1995,1995-02-03,-5.53,12.84,VCF,XVCFX
15,12.0,1995-02-10T00:00:00,2/10/1995,1995-02-10,-6.54,12.84,VCF,XVCFX
16,11.75,1995-02-17T00:00:00,2/17/1995,1995-02-17,-9.48,12.98,VCF,XVCFX
17,12.25,1995-02-24T00:00:00,2/24/1995,1995-02-24,-6.63,13.12,VCF,XVCFX
18,12.0,1995-03-03T00:00:00,3/3/1995,1995-03-03,-8.12,13.06,VCF,XVCFX
19,12.25,1995-03-10T00:00:00,3/10/1995,1995-03-10,-6.56,13.11,VCF,XVCFX
20,12.38,1995-03-17T00:00:00,3/17/1995,1995-03-17,-6.42,13.23,VCF,XVCFX
21,12.38,1995-03-24T00:00:00,3/24/1995,1995-03-24,-6.0,13.17,VCF,XVCFX
22,12.25,1995-03-31T00:00:00,3/31/1995,1995-03-31,-7.13,13.19,VCF,XVCFX
23,12.5,1995-04-07T00:00:00,4/7/1995,1995-04-07,-6.37,13.35,VCF,XVCFX
